Sample	Glyco_Genes_Sum	Corr	type
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_TenPx30	0.016445239	0.357142857142857	HAEMATOPOIETIC
A101D_SKIN_TenPx38	0.010172734	0.619047619047619	SKIN
A2058_SKIN_TenPx03	0.021940217	0.476190476190476	SKIN
A2780_OVARY_TenPx14	0.012577857	0.571428571428572	OVARY
A375_SKIN_TenPx03	0.02002995	0.476190476190476	SKIN
A549_LUNG_TenPx12	0.008172831	0.547619047619048	LUNG
ABC1_LUNG_TenPx04	0.01339021	0.476190476190476	LUNG
ASPC1_PANCREAS_TenPx29	0.011294807	0.80952380952381	PANCREAS
AU565_BREAST_TenPx01	0.019126564	0.476190476190476	BREAST
BT20_BREAST_TenPx24	0.015173177	0.119047619047619	BREAST
BT549_BREAST_TenPx07	0.015420555	0.547619047619048	BREAST
BXPC3_PANCREAS_TenPx23	0.005988148	0.571428571428572	PANCREAS
C32_SKIN_TenPx25	0.022389924	0.690476190476191	SKIN
CAL120_BREAST_TenPx02	0.017890698	0.428571428571429	BREAST
CAL120_BREAST_TenPx28	0.013972721	0.357142857142857	BREAST
CAL51_BREAST_TenPx01	0.011330319	0.5	BREAST
CAL851_BREAST_TenPx07	0.008224682	0.690476190476191	BREAST
CALU1_LUNG_TenPx23	0.020830731	0.452380952380952	LUNG
CALU6_LUNG_TenPx24	0.014730104	0.357142857142857	LUNG
CAMA1_BREAST_TenPx04	0.011971823	0.642857142857143	BREAST
CAOV3_OVARY_TenPx02	0.01961579	0.404761904761905	OVARY
CCK81_LARGE_INTESTINE_TenPx39	0.015093158	0.357142857142857	LARGE_INTESTINE
CFPAC1_PANCREAS_TenPx13	0.009426627	0.857142857142857	PANCREAS
CHAGOK1_LUNG_TenPx37	0.013827812	0.357142857142857	LUNG
CL34_LARGE_INTESTINE_TenPx38	0.010232271	0.142857142857143	LARGE_INTESTINE
CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_TenPx35	0.014752102	0.428571428571429	HAEMATOPOIETIC
COLO205_LARGE_INTESTINE_TenPx20	0.015624666	0.642857142857143	LARGE_INTESTINE
COLO320_LARGE_INTESTINE_TenPx14	0.015623552	0.5	LARGE_INTESTINE
COLO678_LARGE_INTESTINE_TenPx13	0.012411746	0.333333333333333	LARGE_INTESTINE
COLO679_SKIN_TenPx10	0.022333854	0.5	SKIN
COLO741_SKIN_TenPx11	0.010729511	0.690476190476191	SKIN
COLO829_SKIN_TenPx35	0.017013245	0.285714285714286	SKIN
