Sample	Glyco_Genes_Sum	Corr	Corr_Pearson	type	Description
Lib-06	0.021059953	0.428571428571429	0.420553643423129	Carbon source	Acetate
Lib-24	0.030502228	0.5	0.486878713315213	Carbon source	Mannitol
Lib-25	0.026399055	0.428571428571429	0.41488311660993	Carbon source	Melibiose
Lib-26	0.042901854	0.428571428571429	0.359609735016027	Carbon source	G6P + gluconate
Lib-27	0.021472002	0.428571428571429	0.390198159462972	Carbon source	Galactose
Lib-28	0.022165847	0.5	0.452683604803163	Carbon source	Xylose + oxaloacetate
Lib-29	0.026255378	0.428571428571429	0.329683356684583	Carbon source	Glycerol + succinate
Lib-30	0.043901187	0.333333333333333	0.313350521377935	Carbon source	Arabinose
C2	0.03815629	0.523809523809524	0.555057624202274	C-limitation	
C3	0.032513933	0.5	0.466179410034467	C-limitation	400 µM 3MBA
C4	0.028395003	0.428571428571429	0.341179860314904	C-limitation	100 µM 3MBA
C5	0.025031588	0.333333333333333	0.287324138774435	C-limitation	
C6	0.023893402	0.428571428571429	0.325161737126577	C-limitation	400 µM 3MBA
C7	0.023263681	0.0476190476190476	-0.111538604	C-limitation	40 µM 3MBA
C8	0.029245654	0.428571428571429	0.343494925151187	C-limitation	100 µM 3MBA
D6	0.025165146	0.333333333333333	0.298207061253053	C-limitation	
D7	0.023336518	0.0476190476190476	-0.107298868	C-limitation	40 µM 3MBA
D8	0.024754023	0.333333333333333	0.285959622156425	C-limitation	400 µM 3MBA
F4	0.033132347	0.5	0.507014039437251	C-limitation	400 µM 3MBA
F5	0.027998489	0.428571428571429	0.374427972252338	C-limitation	100 µM 3MBA
F6	0.022835701	0.333333333333333	0.297900483786937	C-limitation	
F7	0.024182372	0.333333333333333	0.314009294161864	C-limitation	400 µM 3MBA
F8	0.022266576	0.0476190476190476	-0.109945201	C-limitation	40 µM 3MBA
D1	0.053943705	0.404761904761905	0.467652985484987	A-limitation	20 µM IPTG
D2	0.048979427	0.476190476190476	0.487948692654142	A-limitation	30 µM IPTG
D3	0.045600043	0.476190476190476	0.507443737155746	A-limitation	40 µM IPTG
D4	0.043077506	0.476190476190476	0.532219841643157	A-limitation	50 µM IPTG
D5	0.039255553	0.523809523809524	0.546690828273964	A-limitation	100 µM IPTG
F2	0.039946758	0.523809523809524	0.532922599821289	A-limitation	100 µM IPTG
F3	0.039000521	0.523809523809524	0.546833486806581	A-limitation	100 µM IPTG
A2	0.036306586	0.5	0.53896868384725	R-limitation	
H1	0.035642942	0.5	0.547957225516311	R-limitation	
H5	0.035091511	0.5	0.549264268757279	R-limitation	
E1	0.032589909	0.5	0.549836766450803	R-limitation	2 µg chloramphenicol
E2	0.027998731	0.5	0.560961754625792	R-limitation	4 µg chloramphenicol
E3	0.025176357	0.476190476190476	0.574596489913106	R-limitation	6 µg chloramphenicol
E4	0.023239154	0.380952380952381	0.58168357616322	R-limitation	8 µg chloramphenicol
