Sample	Glyco_Genes_Sum	Corr
Normal	2692.7745	0.547619047619048
Normal.1	2127.609	0.428571428571429
Normal.2	2349.5123	0.547619047619048
Normal.3	1934.2807	0.476190476190476
Normal.4	2843.4525	0.595238095238095
Normal.5	2689.7985	0.547619047619048
Normal.6	1883.5967	0.690476190476191
Normal.7	2379.311	0.785714285714286
Normal.8	1599.4377	0.476190476190476
Normal.9	2342.5348	0.547619047619048
Normal.10	2247.3489	0.547619047619048
Normal.11	3065.968	0.738095238095238
Normal.12	3823.9479	0.595238095238095
Normal.13	1994.0987	0.619047619047619
Normal.14	4176.4922	0.595238095238095
Normal.15	2929.6175	0.595238095238095
Normal.16	2179.3293	0.5
Normal.17	2461.3308	0.476190476190476
Normal.18	1382.5985	0.619047619047619
Normal.19	2794.2662	0.5
Normal.20	3094.7977	0.595238095238095
Normal.21	1549.851	0.619047619047619
Normal.22	2348.1853	0.785714285714286
Normal.23	3014.2884	0.595238095238095
Normal.24	2152.5268	0.547619047619048
Normal.25	2936.6879	0.547619047619048
Normal.26	2532.1124	0.690476190476191
Normal.27	3211.8383	0.595238095238095
Normal.28	2757.158	0.595238095238095
Normal.29	2385.2497	0.690476190476191
Normal.30	1243.8456	0.404761904761905
Normal.31	2998.824	0.595238095238095
Normal.32	2624.7099	0.690476190476191
Normal.33	2457.3234	0.5
Normal.34	2719.9233	0.5
Normal.35	3612.6342	0.595238095238095
Normal.36	3157.5812	0.595238095238095
Normal.37	3709.9348	0.595238095238095
Normal.38	2934.7814	0.738095238095238
Normal.39	2486.4019	0.595238095238095
Normal.40	2945.1816	0.5
Normal.41	2011.1182	0.690476190476191
Normal.42	2275.8165	0.5
Normal.43	2333.9857	0.595238095238095
Normal.44	1796.6547	0.690476190476191
Normal.45	3479.0462	0.595238095238095
Normal.46	1889.2085	0.761904761904762
Normal.47	2644.5779	0.619047619047619
Normal.48	2927.9839	0.5
Normal.49	2217.7482	0.547619047619048
Normal.50	2967.7248	0.738095238095238
Normal.51	2935.0608	0.595238095238095
Normal.52	2763.4884	0.595238095238095
Normal.53	3250.9001	0.595238095238095
Normal.54	1207.6274	0.547619047619048
Normal.55	1593.0632	0.476190476190476
Normal.56	2367.4971	0.5
Normal.57	2196.5372	0.5
Normal.58	1800.4085	0.761904761904762
Normal.59	1991.2414	0.690476190476191
Normal.60	3596.1679	0.595238095238095
Normal.61	2883.5159	0.5
Normal.62	2602.7612	0.738095238095238
Normal.63	2533.0479	0.595238095238095
Normal.64	3821.3543	0.595238095238095
Normal.65	2742.0851	0.595238095238095
Normal.66	2168.9115	0.5
Normal.67	2835.256	0.690476190476191
Normal.68	2887.2557	0.5
Normal.69	4771.5025	0.595238095238095
Normal.70	3164.7972	0.595238095238095
Normal.71	3294.1675	0.595238095238095
Normal.72	2131.839	0.547619047619048
Normal.73	2338.2215	0.547619047619048
Normal.74	3001.5381	0.738095238095238
Normal.75	2318.9623	0.785714285714286
Normal.76	2009.5692	0.738095238095238
Normal.77	1967.6697	0.547619047619048
Normal.78	2360.2961	0.547619047619048
Normal.79	1499.5051	0.690476190476191
Normal.80	2022.8913	0.690476190476191
Normal.81	2431.2966	0.690476190476191
Normal.82	3592.5856	0.595238095238095
Normal.83	3938.2805	0.595238095238095
Normal.84	2305.303	0.476190476190476
Normal.85	2430.8367	0.738095238095238
Normal.86	2898.1588	0.595238095238095
Normal.87	3348.8611	0.595238095238095
Normal.88	2458.9698	0.357142857142857
Normal.89	1867.6486	0.523809523809524
Normal.90	1558.7289	0.619047619047619
Normal.91	4494.7501	0.619047619047619
Normal.92	3350.1941	0.595238095238095
Normal.93	2947.981	0.738095238095238
Normal.94	1492.2575	0.690476190476191
Normal.95	2696.2196	0.738095238095238
Normal.96	2600.4876	0.595238095238095
Normal.97	2210.9251	0.690476190476191
Normal.98	2736.1064	0.595238095238095
Normal.99	1875.1197	0.547619047619048
Normal.100	2877.6158	0.595238095238095
Normal.101	2978.8772	0.5
Normal.102	2868.4732	0.595238095238095
Normal.103	2262.2426	0.547619047619048
Normal.104	1935.5264	0.547619047619048
Normal.105	5358.5659	0.5
Normal.106	2841.6745	0.5
Normal.107	2713.0515	0.738095238095238
Normal.108	1955.4388	0.547619047619048
Normal.109	3416.1295	0.738095238095238
Normal.110	2685.9928	0.690476190476191
Normal.111	12342.8585	0.571428571428572
Normal.112	3247.1164	0.619047619047619
