Sample	Glyco_Genes_Sum	Corr
Tumor	2883.5464	0.714285714285714
Tumor.1	11312.9341	0.785714285714286
Tumor.2	2990.3451	0.523809523809524
Tumor.3	5190.5081	0.523809523809524
Tumor.4	2922.8074	0.642857142857143
Tumor.5	5326.7425	0.595238095238095
Tumor.6	3603.386	0.738095238095238
Tumor.7	3774.1671	0.571428571428572
Tumor.8	9360.4006	0.452380952380952
Tumor.9	1646.168	0.523809523809524
Tumor.10	7167.5144	0.5
Tumor.11	2904.5813	0.523809523809524
Tumor.12	7878.4098	0.714285714285714
Tumor.13	3494.3834	0.619047619047619
Tumor.14	2498.5377	0.5
Tumor.15	6355.3914	0.571428571428572
Tumor.16	3822.0124	0.619047619047619
Tumor.17	3731.995	0.5
Tumor.18	2213.747	0.547619047619048
Tumor.19	5257.1559	0.690476190476191
Tumor.20	3470.3627	0.547619047619048
Tumor.21	3927.1553	0.547619047619048
Tumor.22	5746.2732	0.476190476190476
Tumor.23	3405.5152	0.714285714285714
Tumor.24	5011.0022	0.476190476190476
Tumor.25	4456.1316	0.523809523809524
Tumor.26	5291.7794	0.476190476190476
Tumor.27	5187.9227	0.547619047619048
Tumor.28	2495.6985	0.547619047619048
Tumor.29	3871.7756	0.547619047619048
Tumor.30	2851.0867	0.714285714285714
Tumor.31	3035.3405	0.547619047619048
Tumor.32	3739.0102	0.5
Tumor.33	3445.1362	0.547619047619048
Tumor.34	4809.1856	0.571428571428572
Tumor.35	3723.3848	0.523809523809524
Tumor.36	3300.6154	0.547619047619048
Tumor.37	4707.4437	0.5
Tumor.38	4115.5482	0.523809523809524
Tumor.39	4624.8307	0.547619047619048
Tumor.40	4662.1767	0.5
Tumor.41	3043.8674	0.80952380952381
Tumor.42	5239.8721	0.690476190476191
Tumor.43	5410.3951	0.619047619047619
Tumor.44	4270.0156	0.523809523809524
Tumor.45	3267.7929	0.690476190476191
Tumor.46	23987.1902	0.476190476190476
Tumor.47	3610.6032	0.523809523809524
Tumor.48	2404.5274	0.785714285714286
Tumor.49	2947.9929	0.476190476190476
Tumor.50	2863.4466	0.571428571428572
Tumor.51	4554.3801	0.785714285714286
Tumor.52	3430.7123	0.690476190476191
Tumor.53	2880.03	0.666666666666667
Tumor.54	3565.5693	0.571428571428572
Tumor.55	4516.3277	0.571428571428572
Tumor.56	3168.1907	0.761904761904762
Tumor.57	3271.2046	0.595238095238095
Tumor.58	8029.7666	0.5
Tumor.59	9967.7919	0.476190476190476
Tumor.60	3092.4223	0.523809523809524
Tumor.61	3126.5012	0.523809523809524
Tumor.62	4923.459	0.619047619047619
Tumor.63	4129.3959	0.523809523809524
Tumor.64	3231.026	0.5
Tumor.65	6344.5871	0.595238095238095
Tumor.66	3484.7172	0.547619047619048
Tumor.67	8578.7258	0.619047619047619
Tumor.68	4590.9422	0.785714285714286
Tumor.69	4678.3106	0.595238095238095
Tumor.70	3356.0491	0.523809523809524
Tumor.71	2651.8118	0.476190476190476
Tumor.72	9260.4613	0.547619047619048
Tumor.73	3678.3995	0.547619047619048
Tumor.74	3689.8491	0.547619047619048
Tumor.75	5461.7034	0.619047619047619
Tumor.76	1705.7473	0.761904761904762
Tumor.77	2897.9641	0.571428571428572
Tumor.78	6498.0441	0.523809523809524
Tumor.79	866.6096	0.904761904761905
Tumor.80	951.1835	0.738095238095238
Tumor.81	3255.1788	0.714285714285714
Tumor.82	3435.5971	0.714285714285714
Tumor.83	4133.9807	0.595238095238095
Tumor.84	4541.9244	0.571428571428572
Tumor.85	3563.6454	0.619047619047619
Tumor.86	5400.8632	0.452380952380952
Tumor.87	3875.2276	0.595238095238095
Tumor.88	9356.8605	0.523809523809524
Tumor.89	4239.0797	0.571428571428572
Tumor.90	3466.1487	0.785714285714286
Tumor.91	5255.1875	0.761904761904762
Tumor.92	2908.8724	0.476190476190476
Tumor.93	3327.393	0.761904761904762
Tumor.94	3960.2521	0.761904761904762
Tumor.95	5297.2675	0.761904761904762
Tumor.96	14245.551	0.547619047619048
Tumor.97	3593.648	0.5
Tumor.98	3814.0015	0.738095238095238
Tumor.99	6504.8535	0.547619047619048
Tumor.100	3743.7668	0.452380952380952
Tumor.101	3427.3435	0.80952380952381
Tumor.102	2996.825	0.761904761904762
Tumor.103	3796.5207	0.714285714285714
Tumor.104	4624.5231	0.547619047619048
Tumor.105	3358.9722	0.571428571428572
Tumor.106	7914.5155	0.452380952380952
Tumor.107	4476.2483	0.738095238095238
Tumor.108	3472.8651	0.619047619047619
Tumor.109	9193.236	0.452380952380952
Tumor.110	4140.9584	0.523809523809524
Tumor.111	5241.9886	0.738095238095238
Tumor.112	5488.7744	0.5
Tumor.113	15150.4241	0.452380952380952
Tumor.114	3745.6757	0.452380952380952
Tumor.115	3410.9143	0.761904761904762
Tumor.116	3492.1247	0.761904761904762
Tumor.117	3699.265	0.523809523809524
Tumor.118	4247.4953	0.571428571428572
Tumor.119	4260.4852	0.571428571428572
Tumor.120	2294.5786	0.523809523809524
Tumor.121	4682.4006	0.571428571428572
Tumor.122	3524.2922	0.571428571428572
Tumor.123	3718.5877	0.666666666666667
Tumor.124	6277.1788	0.547619047619048
Tumor.125	2155.183	0.619047619047619
Tumor.126	8914.6496	0.785714285714286
Tumor.127	6599.8014	0.5
Tumor.128	3898.6018	0.80952380952381
Tumor.129	3711.2321	0.80952380952381
Tumor.130	3749.6024	0.523809523809524
Tumor.131	3546.2861	0.5
Tumor.132	3101.0102	0.547619047619048
Tumor.133	1315.5295	0.5
Tumor.134	6563.255	0.523809523809524
Tumor.135	2726.5398	0.452380952380952
Tumor.136	5665.6101	0.595238095238095
Tumor.137	2906.6033	0.690476190476191
Tumor.138	1628.5973	0.547619047619048
Tumor.139	3897.8147	0.571428571428572
Tumor.140	4664.7872	0.571428571428572
Tumor.141	7735.6178	0.619047619047619
Tumor.142	2335.6627	0.523809523809524
Tumor.143	3146.5446	0.619047619047619
Tumor.144	5554.4402	0.690476190476191
Tumor.145	4312.3512	0.523809523809524
Tumor.146	3456.8634	0.547619047619048
Tumor.147	2639.39	0.595238095238095
Tumor.148	5477.0958	0.547619047619048
Tumor.149	11616.865	0.5
Tumor.150	4877.7858	0.547619047619048
Tumor.151	4226.2784	0.476190476190476
Tumor.152	3346.6223	0.714285714285714
Tumor.153	8786.2105	0.547619047619048
Tumor.154	4189.0479	0.523809523809524
Tumor.155	3030.3654	0.571428571428572
Tumor.156	3078.5307	0.666666666666667
Tumor.157	2656.9595	0.571428571428572
Tumor.158	3229.3066	0.523809523809524
Tumor.159	3249.0292	0.547619047619048
Tumor.160	3120.357	0.738095238095238
Tumor.161	6287.4252	0.595238095238095
Tumor.162	3410.7525	0.619047619047619
Tumor.163	3973.2449	0.571428571428572
Tumor.164	517.9778	0.571428571428572
Tumor.165	4559.7434	0.523809523809524
Tumor.166	4421.435	0.547619047619048
Tumor.167	3585.1243	0.571428571428572
Tumor.168	4540.0121	0.523809523809524
Tumor.169	4128.7632	0.571428571428572
Tumor.170	3839.3989	0.523809523809524
Tumor.171	4289.1723	0.761904761904762
Tumor.172	2953.4842	0.619047619047619
Tumor.173	2835.443	0.785714285714286
Tumor.174	3152.0921	0.547619047619048
Tumor.175	3194.2444	0.547619047619048
Tumor.176	456.1113	0.642857142857143
Tumor.177	6958.9418	0.571428571428572
Tumor.178	8480.9988	0.523809523809524
Tumor.179	5007.9218	0.452380952380952
Tumor.180	3162.6621	0.80952380952381
Tumor.181	5657.7086	0.619047619047619
Tumor.182	5133.4027	0.857142857142857
Tumor.183	4987.1439	0.619047619047619
Tumor.184	3578.3912	0.714285714285714
Tumor.185	4017.8056	0.619047619047619
Tumor.186	2942.8843	0.619047619047619
Tumor.187	2704.91	0.523809523809524
Tumor.188	3362.6744	0.523809523809524
Tumor.189	4897.1556	0.523809523809524
Tumor.190	6983.9462	0.785714285714286
Tumor.191	9645.8901	0.690476190476191
Tumor.192	4902.2806	0.571428571428572
Tumor.193	6507.6578	0.523809523809524
Tumor.194	3793.4944	0.619047619047619
Tumor.195	5402.493	0.547619047619048
Tumor.196	3240.1779	0.761904761904762
Tumor.197	4857.251	0.523809523809524
Tumor.198	4565.382	0.571428571428572
Tumor.199	2855.9747	0.880952380952381
Tumor.200	2861.8921	0.547619047619048
Tumor.201	8003.9898	0.547619047619048
Tumor.202	1962.3855	0.523809523809524
Tumor.203	2071.839	0.523809523809524
Tumor.204	3853.0739	0.690476190476191
Tumor.205	5919.4981	0.5
Tumor.206	10671.5271	0.452380952380952
Tumor.207	3364.6706	0.571428571428572
Tumor.208	2713.587	0.738095238095238
Tumor.209	3586.1115	0.785714285714286
Tumor.210	15542.4714	0.452380952380952
Tumor.211	3927.1862	0.5
Tumor.212	3377.0281	0.523809523809524
Tumor.213	3464.8312	0.785714285714286
Tumor.214	4730.3725	0.595238095238095
Tumor.215	2782.0626	0.571428571428572
Tumor.216	3771.7041	0.523809523809524
Tumor.217	3734.2752	0.595238095238095
Tumor.218	2980.3669	0.785714285714286
Tumor.219	2748.353	0.619047619047619
Tumor.220	9303.4818	0.5
Tumor.221	3882.3138	0.785714285714286
Tumor.222	6208.9512	0.80952380952381
Tumor.223	5121.528	0.785714285714286
Tumor.224	3163.3409	0.714285714285714
Tumor.225	3138.8217	0.714285714285714
Tumor.226	6452.5319	0.547619047619048
Tumor.227	3470.2285	0.738095238095238
Tumor.228	5069.8899	0.523809523809524
Tumor.229	3616.2118	0.619047619047619
Tumor.230	4586.137	0.595238095238095
Tumor.231	5704.226	0.619047619047619
Tumor.232	2360.1826	0.523809523809524
Tumor.233	18228.0929	0.476190476190476
Tumor.234	10078.9896	0.547619047619048
Tumor.235	3220.7918	0.571428571428572
Tumor.236	2421.5471	0.547619047619048
Tumor.237	3023.4402	0.5
Tumor.238	3754.446	0.523809523809524
Tumor.239	7826.2207	0.5
Tumor.240	4314.807	0.619047619047619
Tumor.241	16802.9709	0.619047619047619
Tumor.242	3109.8696	0.5
Tumor.243	4004.0358	0.547619047619048
Tumor.244	2673.917	0.547619047619048
Tumor.245	5065.7451	0.595238095238095
Tumor.246	2960.6578	0.5
Tumor.247	11372.5415	0.523809523809524
Tumor.248	2981.8207	0.738095238095238
Tumor.249	3002.3542	0.619047619047619
Tumor.250	3904.3417	0.523809523809524
Tumor.251	5481.8419	0.761904761904762
Tumor.252	2431.703	0.714285714285714
Tumor.253	4252.6293	0.5
Tumor.254	3679.2443	0.714285714285714
Tumor.255	7722.1613	0.452380952380952
Tumor.256	4026.5809	0.619047619047619
Tumor.257	5591.4788	0.5
Tumor.258	3719.303	0.571428571428572
Tumor.259	4613.7804	0.5
Tumor.260	5181.9406	0.738095238095238
Tumor.261	2602.7366	0.666666666666667
Tumor.262	3842.5431	0.523809523809524
Tumor.263	4700.7407	0.738095238095238
Tumor.264	3532.6048	0.761904761904762
Tumor.265	6722.9644	0.547619047619048
Tumor.266	3655.9873	0.523809523809524
Tumor.267	8458.3068	0.571428571428572
Tumor.268	3136.2043	0.690476190476191
Tumor.269	3124.9904	0.523809523809524
Tumor.270	4406.2351	0.595238095238095
Tumor.271	3485.7809	0.619047619047619
Tumor.272	6191.9372	0.619047619047619
Tumor.273	6190.9888	0.428571428571429
Tumor.274	3101.2058	0.761904761904762
Tumor.275	3676.2635	0.523809523809524
Tumor.276	3269.2548	0.690476190476191
Tumor.277	3880.6751	0.642857142857143
Tumor.278	3873.2614	0.690476190476191
Tumor.279	4392.2847	0.619047619047619
Tumor.280	3327.654	0.80952380952381
Tumor.281	6116.9046	0.547619047619048
Tumor.282	2798.0302	0.571428571428572
Tumor.283	2576.0135	0.619047619047619
Tumor.284	3542.2314	0.523809523809524
Tumor.285	7806.7424	0.523809523809524
Tumor.286	1485.1762	0.80952380952381
Tumor.287	2680.073	0.785714285714286
Tumor.288	4336.1482	0.5
Tumor.289	12392.2865	0.547619047619048
Tumor.290	3153.1596	0.738095238095238
Tumor.291	9210.9653	0.428571428571429
Tumor.292	2974.6031	0.523809523809524
Tumor.293	3095.9199	0.714285714285714
Tumor.294	5073.9039	0.5
Tumor.295	6371.7863	0.571428571428572
Tumor.296	3482.1077	0.714285714285714
Tumor.297	1040.5425	0.5
Tumor.298	12889.2742	0.5
Tumor.299	4778.2435	0.619047619047619
Tumor.300	5458.4832	0.619047619047619
Tumor.301	4923.511	0.571428571428572
Tumor.302	5318.6602	0.5
