Sample	Glyco_Genes_Sum	Corr
Normal	4615.4600509524	0.595238095238095
Normal.1	3662.25333195273	0.595238095238095
Normal.2	4491.70643075075	0.595238095238095
Normal.3	4229.69399635598	0.738095238095238
Normal.4	17573.5973062116	0.0476190476190476
Normal.5	4256.10588229705	0.595238095238095
Normal.6	4533.54333520716	0.595238095238095
Normal.7	4669.85704156587	0.595238095238095
Normal.8	5430.89315836937	0.595238095238095
Normal.9	4051.26296992184	0.595238095238095
Normal.10	3157.93573085138	0.738095238095238
Normal.11	3541.64119763024	0.595238095238095
Normal.12	3114.89718545191	0.761904761904762
Normal.13	4608.4440565708	0.595238095238095
Normal.14	5690.73053116016	0.738095238095238
Normal.15	5268.78443800168	0.595238095238095
Normal.16	4447.20973159926	0.595238095238095
Normal.17	6166.28202970976	0.738095238095238
Normal.18	3257.17162654987	0.761904761904762
Normal.19	3619.99543392695	0.595238095238095
Normal.20	4035.36614846829	0.595238095238095
Normal.21	4491.40752864794	0.738095238095238
Normal.22	4591.35629125723	0.595238095238095
Normal.23	4363.6683985827	0.738095238095238
Normal.24	4735.65412178695	0.738095238095238
Normal.25	3450.20483192284	0.761904761904762
Normal.26	4080.14801494037	0.595238095238095
Normal.27	5097.54898298083	0.595238095238095
Normal.28	4331.09027126031	0.595238095238095
Normal.29	4544.82581187323	0.595238095238095
Normal.30	3937.6198454893	0.595238095238095
Normal.31	7590.68565596834	0.738095238095238
Normal.32	3587.25516164464	0.738095238095238
Normal.33	4684.80205696029	0.595238095238095
Normal.34	3790.46766926413	0.595238095238095
Normal.35	4785.57896733008	0.595238095238095
Normal.36	4191.58222337511	0.595238095238095
Normal.37	4044.89399107355	0.595238095238095
Normal.38	5031.08777638586	0.595238095238095
Normal.39	3924.17974050066	0.595238095238095
Normal.40	5833.70517665293	0.595238095238095
