Sample	Glyco_Genes_Sum	Corr
Tumor	6419.92543990775	0.5
Tumor.1	3706.6435092936	0.5
Tumor.2	5259.11172140184	0.595238095238095
Tumor.3	8485.08875629003	0.428571428571429
Tumor.4	7935.6665429976	0.5
Tumor.5	7799.51698685133	0.5
Tumor.6	5958.90554678558	0.5
Tumor.7	4450.78552088022	0.476190476190476
Tumor.8	2870.6878312448	0.738095238095238
Tumor.9	5666.39089674727	0.595238095238095
Tumor.10	2173.65215916542	0.761904761904762
Tumor.11	9317.06790219302	0.785714285714286
Tumor.12	9193.49493951862	0.5
Tumor.13	3914.11308381359	0.738095238095238
Tumor.14	6249.43407587843	0.595238095238095
Tumor.15	8324.96185742169	0.428571428571429
Tumor.16	8819.99852768115	0.761904761904762
Tumor.17	2407.45386491002	0.738095238095238
Tumor.18	10587.1014000294	0.5
Tumor.19	4068.12413635218	0.5
Tumor.20	2620.80778602158	0.833333333333333
Tumor.21	8042.20796306629	0.5
Tumor.22	7142.4404063626	0.690476190476191
Tumor.23	3463.7048659804	0.880952380952381
Tumor.24	5319.10965022049	0.547619047619048
Tumor.25	13688.5944607549	0.30952380952381
Tumor.26	11025.9502810728	0.595238095238095
Tumor.27	11857.9895686303	0.5
Tumor.28	9269.89804865686	0.5
Tumor.29	7404.37448637706	0.547619047619048
Tumor.30	6345.4272576515	0.738095238095238
Tumor.31	8757.45001907923	0.595238095238095
Tumor.32	7130.60837858484	0.738095238095238
Tumor.33	5923.79216632665	0.5
Tumor.34	5486.28506359556	0.5
Tumor.35	5944.86611640742	0.5
Tumor.36	7139.13424259	0.595238095238095
Tumor.37	7806.5551674684	0.5
Tumor.38	6277.95079754911	0.761904761904762
Tumor.39	4876.65828038177	0.5
Tumor.40	3474.45130649937	0.595238095238095
Tumor.41	17231.9143464842	0.5
Tumor.42	7304.92371860547	0.5
Tumor.43	17088.1965621086	0.428571428571429
Tumor.44	10148.7137923967	0.619047619047619
Tumor.45	11918.6758807783	0.595238095238095
Tumor.46	4785.31080446052	0.738095238095238
Tumor.47	3659.46941142493	0.5
Tumor.48	4684.4718056853	0.738095238095238
Tumor.49	7550.36708899949	0.5
Tumor.50	4630.57991732889	0.5
Tumor.51	7329.60119775188	0.5
Tumor.52	3536.53747611182	0.547619047619048
Tumor.53	5834.22489606429	0.595238095238095
Tumor.54	10172.3942316768	0.619047619047619
Tumor.55	6593.85532982492	0.595238095238095
Tumor.56	5512.44594586002	0.595238095238095
Tumor.57	6354.7810425596	0.5
Tumor.58	10489.0962552366	0.5
Tumor.59	6884.92301582979	0.785714285714286
Tumor.60	5073.76966911942	0.5
Tumor.61	8658.66431536355	0.5
Tumor.62	9010.35293604982	0.595238095238095
Tumor.63	7046.53894747816	0.547619047619048
Tumor.64	5259.64120768291	0.595238095238095
Tumor.65	12051.0586443024	0.5
Tumor.66	10352.3875776947	0.5
Tumor.67	9133.24021999917	0.5
Tumor.68	7279.71372477059	0.595238095238095
Tumor.69	10187.1588258731	0.595238095238095
Tumor.70	7231.65561057027	0.619047619047619
Tumor.71	6804.99343612842	0.595238095238095
Tumor.72	5194.69705890031	0.595238095238095
Tumor.73	7410.43993656622	0.5
Tumor.74	4928.25891011435	0.619047619047619
Tumor.75	7901.91994643976	0.595238095238095
Tumor.76	12986.6779234816	0.5
Tumor.77	12143.0373901448	0.690476190476191
Tumor.78	10269.0768061099	0.5
Tumor.79	15859.5758304384	0.5
Tumor.80	10578.609092982	0.595238095238095
Tumor.81	10926.5221409517	0.595238095238095
Tumor.82	8144.61366290783	0.738095238095238
Tumor.83	6307.61454698863	0.595238095238095
Tumor.84	8458.32313889975	0.595238095238095
Tumor.85	7496.51531354845	0.595238095238095
Tumor.86	9413.8750661788	0.595238095238095
Tumor.87	11859.1543751172	0.5
Tumor.88	6820.0509493038	0.380952380952381
Tumor.89	6682.09093043892	0.595238095238095
Tumor.90	14667.7125852351	0.595238095238095
Tumor.91	5958.84210973184	0.547619047619048
Tumor.92	10523.5233288856	0.595238095238095
Tumor.93	8134.67170820494	0.595238095238095
Tumor.94	3953.39157710696	0.547619047619048
Tumor.95	12036.1170441657	0.5
Tumor.96	12179.6116672491	0.595238095238095
Tumor.97	5534.26531875822	0.738095238095238
Tumor.98	8343.49800958004	0.5
Tumor.99	5760.02637730943	0.595238095238095
Tumor.100	4946.42586274725	0.738095238095238
Tumor.101	11072.3998538221	0.428571428571429
Tumor.102	11825.8081878611	0.5
Tumor.103	5071.71157061722	0.5
Tumor.104	8367.44803324866	0.5
Tumor.105	10962.0477022852	0.5
Tumor.106	9935.40477162947	0.5
Tumor.107	6901.2919934201	0.5
Tumor.108	6588.11933711487	0.5
Tumor.109	7670.42633184555	0.5
Tumor.110	8115.54575712968	0.5
Tumor.111	4697.47685597179	0.595238095238095
Tumor.112	9185.11214879872	0.5
Tumor.113	7700.04873757698	0.5
Tumor.114	4583.86688835955	0.547619047619048
Tumor.115	4846.75753933236	0.595238095238095
Tumor.116	8201.72217262509	0.5
Tumor.117	8265.64379023933	0.595238095238095
Tumor.118	9252.4007964316	0.5
Tumor.119	9646.99271649117	0.595238095238095
Tumor.120	8361.59428910003	0.5
Tumor.121	6339.81594409591	0.5
Tumor.122	6807.38583698298	0.595238095238095
Tumor.123	9420.82210494877	0.5
Tumor.124	8950.20492006019	0.738095238095238
Tumor.125	8919.4879954287	0.5
Tumor.126	10343.3444629199	0.5
Tumor.127	10135.6642261008	0.595238095238095
Tumor.128	7543.72046353866	0.5
Tumor.129	8630.20696650357	0.5
Tumor.130	7211.07627443754	0.547619047619048
Tumor.131	15740.5393887055	0.595238095238095
Tumor.132	4941.99543387357	0.738095238095238
Tumor.133	14403.7732999374	0.595238095238095
Tumor.134	7952.71001115847	0.5
Tumor.135	9480.94688762745	0.595238095238095
Tumor.136	12024.2702495794	0.5
Tumor.137	12358.1984026718	0.5
Tumor.138	11136.181765329	0.595238095238095
Tumor.139	6319.72114888067	0.595238095238095
