Sample	Glyco_Genes_Sum	Corr
Normal	6981.1366	0.571428571428572
Normal.1	4408.6917	0.523809523809524
Normal.2	4506.796	0.619047619047619
Normal.3	4720.7369	0.619047619047619
Normal.4	6106.1016	0.619047619047619
Normal.5	4075.9794	0.523809523809524
Normal.6	7506.2524	0.571428571428572
Normal.7	5534.6322	0.523809523809524
Normal.8	5002.3312	0.619047619047619
Normal.9	4261.9583	0.761904761904762
Normal.10	4355.8159	0.619047619047619
Normal.11	6271.9407	0.595238095238095
Normal.12	5968.5003	0.5
Normal.13	4487.0267	0.571428571428572
Normal.14	3553.2359	0.523809523809524
Normal.15	5866.9592	0.619047619047619
Normal.16	5959.9883	0.5
Normal.17	4276.5901	0.619047619047619
Normal.18	5059.3906	0.642857142857143
Normal.19	5024.1664	0.619047619047619
Normal.20	5330.5934	0.619047619047619
Normal.21	3974.4335	0.547619047619048
Normal.22	4913.4209	0.619047619047619
Normal.23	6841.5616	0.571428571428572
Normal.24	8429.2719	0.571428571428572
Normal.25	3087.895	0.761904761904762
Normal.26	1427.431	0.523809523809524
Normal.27	9094.8763	0.571428571428572
Normal.28	4872.3673	0.619047619047619
Normal.29	3860.2983	0.523809523809524
Normal.30	4661.3063	0.595238095238095
Normal.31	3615.6079	0.523809523809524
Normal.32	4976.1594	0.619047619047619
Normal.33	5134.708	0.619047619047619
Normal.34	4302.0091	0.595238095238095
Normal.35	5005.9155	0.619047619047619
Normal.36	2915.4007	0.547619047619048
Normal.37	5355.2107	0.571428571428572
Normal.38	4807.5082	0.619047619047619
Normal.39	4416.9419	0.619047619047619
Normal.40	5185.1419	0.5
Normal.41	7516.9127	0.571428571428572
Normal.42	3410.2777	0.452380952380952
Normal.43	4911.899	0.571428571428572
