Sample	Glyco_Genes_Sum	Corr
Tumor	7124.1996	0.476190476190476
Tumor.1	5450.6092	0.571428571428572
Tumor.2	12337.1713	0.595238095238095
Tumor.3	5448.6369	0.619047619047619
Tumor.4	4697.564	0.761904761904762
Tumor.5	6029.5956	0.619047619047619
Tumor.6	5119.6178	0.523809523809524
Tumor.7	12202.1867	0.619047619047619
Tumor.8	7342.5971	0.690476190476191
Tumor.9	8072.679	0.80952380952381
Tumor.10	11233.9928	0.523809523809524
Tumor.11	9735.6825	0.619047619047619
Tumor.12	8796.6775	0.523809523809524
Tumor.13	9595.9705	0.523809523809524
Tumor.14	9144.1646	0.476190476190476
Tumor.15	8486.399	0.452380952380952
Tumor.16	9625.8765	0.523809523809524
Tumor.17	10976.4971	0.619047619047619
Tumor.18	10919.5053	0.642857142857143
Tumor.19	7391.6587	0.619047619047619
Tumor.20	10629.9089	0.619047619047619
Tumor.21	8494.3595	0.452380952380952
Tumor.22	7401.3564	0.547619047619048
Tumor.23	5538.7025	0.523809523809524
Tumor.24	7697.026	0.571428571428572
Tumor.25	4654.5783	0.5
Tumor.26	8456.7297	0.428571428571429
Tumor.27	7164.3826	0.547619047619048
Tumor.28	9954.3784	0.619047619047619
Tumor.29	8699.9726	0.619047619047619
Tumor.30	6325.5667	0.619047619047619
Tumor.31	7006.5685	0.5
Tumor.32	5669.2129	0.619047619047619
Tumor.33	8668.2806	0.5
Tumor.34	6228.8288	0.523809523809524
Tumor.35	7685.0781	0.80952380952381
Tumor.36	5122.7901	0.619047619047619
Tumor.37	8812.7976	0.5
Tumor.38	6950.7134	0.476190476190476
Tumor.39	8227.3292	0.452380952380952
Tumor.40	7893.8706	0.619047619047619
Tumor.41	7183.5984	0.714285714285714
Tumor.42	6241.1452	0.5
Tumor.43	9956.111	0.619047619047619
Tumor.44	5322.2317	0.619047619047619
Tumor.45	9307.7377	0.595238095238095
Tumor.46	7669.6463	0.619047619047619
Tumor.47	12949.0187	0.5
Tumor.48	8526.1796	0.523809523809524
Tumor.49	9202.4078	0.5
Tumor.50	7517.3133	0.523809523809524
Tumor.51	7552.9589	0.761904761904762
Tumor.52	7851.9576	0.476190476190476
Tumor.53	15405.8898	0.428571428571429
Tumor.54	5158.7394	0.761904761904762
Tumor.55	16389.6013	0.5
Tumor.56	7758.4573	0.523809523809524
Tumor.57	5173.4717	0.5
Tumor.58	4515.1554	0.5
Tumor.59	9056.3041	0.547619047619048
Tumor.60	9193.3158	0.80952380952381
Tumor.61	5800.5551	0.714285714285714
Tumor.62	7501.4969	0.785714285714286
Tumor.63	9891.0684	0.5
Tumor.64	7605.9834	0.571428571428572
Tumor.65	7681.7114	0.547619047619048
Tumor.66	8597.2201	0.523809523809524
Tumor.67	7799.6374	0.761904761904762
Tumor.68	8009.5673	0.5
Tumor.69	5869.1323	0.5
Tumor.70	3928.2639	0.547619047619048
Tumor.71	8960.1841	0.619047619047619
Tumor.72	6777.1415	0.523809523809524
Tumor.73	4949.9511	0.761904761904762
Tumor.74	6812.5157	0.761904761904762
Tumor.75	5504.5081	0.523809523809524
Tumor.76	12548.5724	0.595238095238095
Tumor.77	8401.5252	0.523809523809524
Tumor.78	10558.4258	0.5
Tumor.79	6514.9463	0.5
Tumor.80	9741.2413	0.547619047619048
Tumor.81	10505.0733	0.619047619047619
Tumor.82	3286.2618	0.738095238095238
Tumor.83	9274.2123	0.642857142857143
Tumor.84	6730.266	0.5
Tumor.85	7720.0329	0.619047619047619
Tumor.86	4297.6944	0.523809523809524
Tumor.87	7458.1938	0.428571428571429
Tumor.88	8789.8349	0.738095238095238
Tumor.89	11812.6281	0.5
Tumor.90	6367.2851	0.619047619047619
Tumor.91	7924.0088	0.595238095238095
Tumor.92	8268.4431	0.595238095238095
Tumor.93	8132.8267	0.714285714285714
Tumor.94	7087.3805	0.5
Tumor.95	5833.9904	0.428571428571429
Tumor.96	10173.3257	0.523809523809524
Tumor.97	8540.242	0.523809523809524
Tumor.98	4869.1527	0.619047619047619
Tumor.99	14978.5386	0.5
Tumor.100	4259.169	0.619047619047619
Tumor.101	6268.7563	0.523809523809524
Tumor.102	7920.5048	0.619047619047619
Tumor.103	9445.9236	0.547619047619048
Tumor.104	7750.8254	0.571428571428572
Tumor.105	4713.738	0.5
Tumor.106	10743.4801	0.523809523809524
Tumor.107	6997.4782	0.785714285714286
Tumor.108	8684.414	0.5
Tumor.109	10898.398	0.404761904761905
Tumor.110	12279.2925	0.523809523809524
Tumor.111	7607.6313	0.619047619047619
Tumor.112	13332.9153	0.5
Tumor.113	6189.7813	0.595238095238095
Tumor.114	4465.0146	0.595238095238095
Tumor.115	7830.0034	0.523809523809524
Tumor.116	17672.4697	0.5
Tumor.117	8203.4669	0.785714285714286
Tumor.118	14373.4184	0.523809523809524
Tumor.119	5970.1901	0.5
Tumor.120	7608.846	0.571428571428572
Tumor.121	5671.5495	0.714285714285714
Tumor.122	12100.3728	0.428571428571429
Tumor.123	7106.5936	0.571428571428572
Tumor.124	7871.5599	0.523809523809524
Tumor.125	5493.4788	0.619047619047619
Tumor.126	10700.8174	0.595238095238095
Tumor.127	4870.1475	0.761904761904762
Tumor.128	8669.024	0.619047619047619
Tumor.129	13207.6702	0.761904761904762
Tumor.130	7244.9349	0.452380952380952
Tumor.131	13543.6641	0.523809523809524
Tumor.132	6197.3949	0.571428571428572
Tumor.133	5178.3355	0.595238095238095
Tumor.134	7984.4046	0.571428571428572
Tumor.135	3850.3938	0.738095238095238
Tumor.136	7279.4137	0.761904761904762
Tumor.137	3814.8871	0.523809523809524
Tumor.138	4306.5032	0.452380952380952
Tumor.139	6940.2626	0.547619047619048
Tumor.140	7453.7292	0.523809523809524
Tumor.141	6563.3151	0.476190476190476
Tumor.142	6919.0852	0.5
Tumor.143	6798.5321	0.5
Tumor.144	13324.0094	0.5
Tumor.145	11386.2801	0.523809523809524
Tumor.146	7749.667	0.571428571428572
Tumor.147	6013.6857	0.5
Tumor.148	7470.0218	0.5
Tumor.149	5955.6214	0.452380952380952
Tumor.150	9491.2486	0.523809523809524
Tumor.151	7828.1929	0.642857142857143
Tumor.152	6337.6207	0.547619047619048
Tumor.153	8468.2906	0.619047619047619
Tumor.154	10831.9562	0.5
Tumor.155	9315.9755	0.452380952380952
Tumor.156	8380.9502	0.5
Tumor.157	6731.6226	0.547619047619048
Tumor.158	5325.7874	0.714285714285714
Tumor.159	8601.9608	0.452380952380952
Tumor.160	10856.9333	0.547619047619048
Tumor.161	7008.8123	0.619047619047619
