Sample	Glyco_Genes_Sum	Corr
Normal	7436.198	-0.214285714285714
Normal.1	4133.8216	0.714285714285714
Normal.2	5191.6492	0.571428571428572
Normal.3	5168.6396	0.523809523809524
Normal.4	9064.1688	-0.261904761904762
Normal.5	6077.206	0.571428571428572
Normal.6	5322.8889	-0.261904761904762
Normal.7	7434.3359	0.619047619047619
Normal.8	4806.321	0.452380952380952
Normal.9	10488.2777	-0.333333333333333
Normal.10	11367.6812	-0.238095238095238
Normal.11	4480.4748	0.5
Normal.12	7531.1617	-0.214285714285714
Normal.13	3256.1977	0.5
Normal.14	9449.1872	-0.214285714285714
Normal.15	7481.6921	0.5
Normal.16	5326.5806	0.619047619047619
Normal.17	6187.0564	0.166666666666667
Normal.18	5796.6623	0.5
Normal.19	5358.061	0.619047619047619
Normal.20	5770.8022	0.452380952380952
Normal.21	6461.0362	0.619047619047619
Normal.22	6396.2407	0.166666666666667
Normal.23	7481.0948	-0.238095238095238
Normal.24	9303.9438	-0.285714285714286
Normal.25	6085.0207	0.5
Normal.26	10142.5895	-0.261904761904762
Normal.27	4751.1938	0.452380952380952
Normal.28	13063.0303	-0.238095238095238
Normal.29	10532.6357	-0.333333333333333
Normal.30	7385.3948	-0.166666666666667
Normal.31	3965.2182	0.428571428571429
Normal.32	5957.1704	0.523809523809524
Normal.33	9083.6308	-0.19047619047619
Normal.34	9252.8193	-0.261904761904762
Normal.35	7875.3752	-0.214285714285714
Normal.36	9192.5449	-0.238095238095238
Normal.37	3855.6394	0.428571428571429
Normal.38	7883.3207	-0.166666666666667
Normal.39	6092.8393	0.5
Normal.40	6549.2218	0.523809523809524
Normal.41	9666.4649	-0.30952380952381
Normal.42	7127.6953	0.428571428571429
Normal.43	4134.7357	0.547619047619048
Normal.44	6690.1498	-0.214285714285714
Normal.45	6431.5256	0.523809523809524
Normal.46	11135.7053	-0.333333333333333
Normal.47	5145.2031	0.523809523809524
Normal.48	4495.4906	0.571428571428572
Normal.49	10600.1946	-0.30952380952381
Normal.50	5397.7708	0.452380952380952
Normal.51	6782.4519	0.523809523809524
Normal.52	12465.3828	0.428571428571429
Normal.53	3590.9028	0.428571428571429
Normal.54	5351.6786	0.0714285714285714
Normal.55	8439.2746	-0.261904761904762
Normal.56	7303.4995	0.619047619047619
Normal.57	9635.2742	-0.238095238095238
Normal.58	7119.0749	0.5
Normal.59	7678.2685	-0.19047619047619
Normal.60	6980.8447	0.166666666666667
Normal.61	7009.8125	0.595238095238095
Normal.62	8384.6351	-0.214285714285714
Normal.63	11773.8244	-0.30952380952381
Normal.64	8306.0644	-0.0714285714285714
Normal.65	5878.514	0.5
Normal.66	6020.1802	0.595238095238095
Normal.67	7737.0144	-0.119047619047619
Normal.68	7471.7504	0.571428571428572
Normal.69	5979.5223	0.547619047619048
Normal.70	5258.6015	0.380952380952381
Normal.71	2953.6664	0.5
