Sample	Glyco_Genes_Sum	Corr
Tumor	8465.1091	0.523809523809524
Tumor.1	13000.0344	0.428571428571429
Tumor.2	1174.3281	0.452380952380952
Tumor.3	8420.0345	0.428571428571429
Tumor.4	10100.2584	0.619047619047619
Tumor.5	8051.654	0.547619047619048
Tumor.6	14499.9109	0.619047619047619
Tumor.7	8495.758	0.547619047619048
Tumor.8	4619.1161	0.738095238095238
Tumor.9	12183.7318	0.761904761904762
Tumor.10	14115.1115	0.547619047619048
Tumor.11	11675.0301	0.5
Tumor.12	7268.7119	0.619047619047619
Tumor.13	11703.8869	0.452380952380952
Tumor.14	8266.7395	0.595238095238095
Tumor.15	6258.6609	0.428571428571429
Tumor.16	10139.7476	0.452380952380952
Tumor.17	6579.2075	0.833333333333333
Tumor.18	10003.2892	0.428571428571429
Tumor.19	11677.9327	0.428571428571429
Tumor.20	10472.1274	0.619047619047619
Tumor.21	7565.8836	0.547619047619048
Tumor.22	7899.967	0.547619047619048
Tumor.23	4930.2022	0.5
Tumor.24	10028.7963	0.571428571428572
Tumor.25	7825.3175	0.5
Tumor.26	6086.0854	0.452380952380952
Tumor.27	2185.0251	0.833333333333333
Tumor.28	3670.8894	0.404761904761905
Tumor.29	12876.5428	0.619047619047619
Tumor.30	11197.4385	0.595238095238095
Tumor.31	2937.9117	0.428571428571429
Tumor.32	4959.917	0.523809523809524
Tumor.33	12103.0402	0.428571428571429
Tumor.34	11452.7275	0.714285714285714
Tumor.35	14787.5809	0.5
Tumor.36	10449.2195	0.428571428571429
Tumor.37	8582.877	0.547619047619048
Tumor.38	14702.3222	0.452380952380952
Tumor.39	11874.1348	0.428571428571429
Tumor.40	2849.4015	0.619047619047619
Tumor.41	9316.5001	0.5
Tumor.42	7184.8212	0.619047619047619
Tumor.43	10717.0648	0.428571428571429
Tumor.44	8097.3785	0.5
Tumor.45	4197.564	0.452380952380952
Tumor.46	9999.1573	0.571428571428572
Tumor.47	12353.7561	0.428571428571429
Tumor.48	10787.027	0.547619047619048
Tumor.49	14454.3759	0.523809523809524
Tumor.50	4110.5793	0.428571428571429
Tumor.51	10028.9896	0.452380952380952
Tumor.52	9122.8741	0.595238095238095
Tumor.53	9908.0926	0.5
Tumor.54	8863.6776	0.428571428571429
Tumor.55	9309.2969	0.428571428571429
Tumor.56	18133.4584	0.452380952380952
Tumor.57	13414.6873	0.547619047619048
Tumor.58	8233.2071	0.595238095238095
Tumor.59	16452.1147	0.452380952380952
Tumor.60	8218.6033	0.476190476190476
Tumor.61	13615.9642	0.428571428571429
Tumor.62	13456.3571	0.452380952380952
Tumor.63	2255.1229	0.547619047619048
Tumor.64	3991.522	0.571428571428572
Tumor.65	8527.2	0.452380952380952
Tumor.66	7913.9454	0.619047619047619
Tumor.67	7275.4092	0.452380952380952
Tumor.68	11250.5641	0.428571428571429
Tumor.69	10239.472	0.595238095238095
Tumor.70	6280.784	0.761904761904762
Tumor.71	8994.8928	0.619047619047619
Tumor.72	4000.159	0.428571428571429
Tumor.73	6170.8709	0.5
Tumor.74	7825.8185	0.619047619047619
Tumor.75	10141.7357	0.452380952380952
Tumor.76	6631.3766	0.428571428571429
Tumor.77	14959.3123	0.428571428571429
Tumor.78	6167.0471	0.523809523809524
Tumor.79	6717.6595	0.452380952380952
Tumor.80	8163.8736	0.452380952380952
Tumor.81	6161.8886	0.476190476190476
Tumor.82	7932.349	0.452380952380952
Tumor.83	7626.4063	0.452380952380952
