Sample	Glyco_Genes_Sum	Corr
Normal	2150.5083	0.80952380952381
Normal.1	2450.8387	0.785714285714286
Normal.2	1773.1762	0.80952380952381
Normal.3	2790.7746	0.761904761904762
Normal.4	2223.8538	0.80952380952381
Normal.5	2188.7983	0.785714285714286
Normal.6	2477.2879	0.785714285714286
Normal.7	1968.1045	0.80952380952381
Normal.8	2513.2508	0.785714285714286
Normal.9	1940.4508	0.80952380952381
Normal.10	2802.0281	0.785714285714286
Normal.11	2160.4184	0.738095238095238
Normal.12	2068.8334	0.80952380952381
Normal.13	2478.2103	0.785714285714286
Normal.14	2249.9141	0.80952380952381
Normal.15	2743.9347	0.80952380952381
Normal.16	2302.5356	0.80952380952381
Normal.17	2470.275	0.785714285714286
Normal.18	2195.3548	0.857142857142857
Normal.19	2157.6734	0.857142857142857
Normal.20	2425.8137	0.880952380952381
Normal.21	3979.6134	0.785714285714286
Normal.22	2849.2571	0.785714285714286
Normal.23	2773.9063	0.785714285714286
Normal.24	2414.8877	0.785714285714286
Normal.25	2625.6623	0.785714285714286
Normal.26	2166.2028	0.785714285714286
Normal.27	2005.802	0.785714285714286
Normal.28	1912.5277	0.80952380952381
Normal.29	2442.876	0.785714285714286
Normal.30	2962.907	0.785714285714286
Normal.31	2774.047	0.80952380952381
Normal.32	2104.4245	0.785714285714286
Normal.33	2385.6794	0.785714285714286
Normal.34	2267.198	0.785714285714286
Normal.35	2453.6504	0.857142857142857
Normal.36	2586.8531	0.785714285714286
Normal.37	2201.1837	0.80952380952381
Normal.38	2087.034	0.785714285714286
Normal.39	1971.1781	0.785714285714286
Normal.40	2195.753	0.785714285714286
Normal.41	2530.061	0.785714285714286
Normal.42	2590.9638	0.785714285714286
Normal.43	2232.5174	0.857142857142857
Normal.44	2193.4406	0.857142857142857
Normal.45	2198.5667	0.857142857142857
Normal.46	1940.9084	0.880952380952381
Normal.47	2926.8518	0.785714285714286
Normal.48	2287.2668	0.785714285714286
Normal.49	2065.7175	0.785714285714286
Normal.50	2007.1711	0.80952380952381
Normal.51	2622.8883	0.80952380952381
Normal.52	2020.3151	0.880952380952381
Normal.53	2962.4317	0.690476190476191
Normal.54	2156.673	0.80952380952381
Normal.55	2008.5268	0.857142857142857
Normal.56	2038.9906	0.857142857142857
Normal.57	2688.6214	0.785714285714286
Normal.58	2042.7088	0.857142857142857
