Sample	Glyco_Genes_Sum	Corr
Tumor	2466.4608	0.547619047619048
Tumor.1	3181.4117	0.80952380952381
Tumor.2	3622.6249	0.571428571428572
Tumor.3	5482.5328	0.595238095238095
Tumor.4	4086.4676	0.5
Tumor.5	7047.3192	0.571428571428572
Tumor.6	1671.5259	0.880952380952381
Tumor.7	4238.3028	0.714285714285714
Tumor.8	2726.9178	0.690476190476191
Tumor.9	5687.091	0.761904761904762
Tumor.10	14671.9403	0.595238095238095
Tumor.11	3286.6168	0.761904761904762
Tumor.12	6225.8472	0.571428571428572
Tumor.13	10574.8753	0.452380952380952
Tumor.14	2773.3254	0.476190476190476
Tumor.15	8368.2074	0.619047619047619
Tumor.16	8065.3521	0.5
Tumor.17	7158.4533	0.642857142857143
Tumor.18	8468.1681	0.833333333333333
Tumor.19	7435.527	0.476190476190476
Tumor.20	5653.5781	0.690476190476191
Tumor.21	6461.8003	0.547619047619048
Tumor.22	3583.395	0.571428571428572
Tumor.23	4443.668	0.571428571428572
Tumor.24	8133.3792	0.761904761904762
Tumor.25	2878.1394	0.523809523809524
Tumor.26	6831.7477	0.595238095238095
Tumor.27	8883.1136	0.619047619047619
Tumor.28	3926.8426	0.547619047619048
Tumor.29	3703.8894	0.547619047619048
Tumor.30	8286.4984	0.880952380952381
Tumor.31	7981.2009	0.547619047619048
Tumor.32	3673.7033	0.523809523809524
Tumor.33	4730.2709	0.547619047619048
Tumor.34	3099.8174	0.857142857142857
Tumor.35	3379.7688	0.785714285714286
Tumor.36	2377.2471	0.80952380952381
Tumor.37	5380.9487	0.452380952380952
Tumor.38	4700.9908	0.476190476190476
Tumor.39	5973.0017	0.476190476190476
Tumor.40	4622.3686	0.904761904761905
Tumor.41	2722.9655	0.476190476190476
Tumor.42	4302.4032	0.857142857142857
Tumor.43	7320.0376	0.547619047619048
Tumor.44	1193.1168	0.904761904761905
Tumor.45	2543.2455	0.5
Tumor.46	5660.5872	0.452380952380952
Tumor.47	3226.3308	0.571428571428572
Tumor.48	8659.674	0.880952380952381
Tumor.49	7982.9105	0.547619047619048
Tumor.50	3859.9128	0.5
Tumor.51	3691.8787	0.761904761904762
Tumor.52	5898.0452	0.785714285714286
Tumor.53	6506.6344	0.476190476190476
Tumor.54	2569.8381	0.619047619047619
Tumor.55	5929.5437	0.785714285714286
Tumor.56	4288.7649	0.571428571428572
Tumor.57	4468.7141	0.547619047619048
Tumor.58	7022.3554	0.476190476190476
Tumor.59	4601.3291	0.476190476190476
Tumor.60	3371.8665	0.714285714285714
Tumor.61	3505.3219	0.785714285714286
Tumor.62	6058.2597	0.690476190476191
Tumor.63	9900.2586	0.833333333333333
Tumor.64	5208.0281	0.547619047619048
Tumor.65	967.597	0.904761904761905
Tumor.66	4962.6642	0.785714285714286
Tumor.67	2152.6533	0.833333333333333
Tumor.68	6966.4747	0.738095238095238
Tumor.69	4718.227	0.785714285714286
Tumor.70	5365.235	0.452380952380952
Tumor.71	2334.6423	0.785714285714286
Tumor.72	6022.8669	0.571428571428572
Tumor.73	3030.4387	0.476190476190476
Tumor.74	6717.4075	0.476190476190476
Tumor.75	5480.8551	0.5
Tumor.76	3029.998	0.785714285714286
Tumor.77	3754.6192	0.571428571428572
Tumor.78	5276.0667	0.642857142857143
Tumor.79	3730.6447	0.428571428571429
Tumor.80	4271.2796	0.738095238095238
Tumor.81	10005.2719	0.476190476190476
Tumor.82	3624.5903	0.476190476190476
Tumor.83	9689.1324	0.547619047619048
Tumor.84	4608.139	0.619047619047619
Tumor.85	1898.7705	0.523809523809524
Tumor.86	3999.8859	0.642857142857143
Tumor.87	2852.1171	0.785714285714286
Tumor.88	3079.7387	0.476190476190476
Tumor.89	3856.7734	0.690476190476191
Tumor.90	3759.4855	0.5
Tumor.91	3931.5638	0.476190476190476
Tumor.92	6968.3255	0.547619047619048
Tumor.93	5078.8198	0.476190476190476
Tumor.94	2734.9638	0.619047619047619
Tumor.95	6528.2689	0.523809523809524
Tumor.96	2570.8453	0.785714285714286
Tumor.97	11058.4084	0.476190476190476
Tumor.98	4155.584	0.619047619047619
Tumor.99	4111.5282	0.571428571428572
Tumor.100	10978.0292	0.452380952380952
Tumor.101	2684.2474	0.738095238095238
Tumor.102	3292.0545	0.476190476190476
Tumor.103	2895.447	0.785714285714286
Tumor.104	4906.4028	0.523809523809524
Tumor.105	8458.9442	0.5
Tumor.106	4177.1855	0.595238095238095
Tumor.107	5825.3564	0.523809523809524
Tumor.108	9771.4452	0.476190476190476
Tumor.109	4797.5231	0.738095238095238
Tumor.110	3915.3278	0.761904761904762
Tumor.111	6123.4865	0.785714285714286
Tumor.112	3181.828	0.690476190476191
Tumor.113	3837.873	0.476190476190476
Tumor.114	4225.6247	0.547619047619048
Tumor.115	3155.2111	0.5
Tumor.116	4460.8215	0.428571428571429
Tumor.117	5551.4245	0.857142857142857
Tumor.118	6582.2378	0.547619047619048
Tumor.119	3544.1637	0.690476190476191
Tumor.120	5587.1262	0.547619047619048
Tumor.121	2808.3182	0.761904761904762
Tumor.122	8757.0307	0.5
Tumor.123	4130.0119	0.785714285714286
Tumor.124	5756.1098	0.5
Tumor.125	857.2957	0.880952380952381
Tumor.126	2513.6851	0.857142857142857
Tumor.127	4020.644	0.642857142857143
Tumor.128	5911.9848	0.5
Tumor.129	6941.9381	0.595238095238095
Tumor.130	7615.7222	0.5
Tumor.131	5325.451	0.761904761904762
Tumor.132	6546.6264	0.523809523809524
Tumor.133	1158.9081	0.761904761904762
Tumor.134	4007.78	0.619047619047619
Tumor.135	5355.108	0.619047619047619
Tumor.136	7828.1583	0.547619047619048
Tumor.137	14080.8127	0.738095238095238
Tumor.138	7841.733	0.642857142857143
Tumor.139	7820.9337	0.547619047619048
Tumor.140	2454.0285	0.690476190476191
Tumor.141	7879.5796	0.523809523809524
