Sample	Glyco_Genes_Sum	Corr
Normal	2332.0447	0.785714285714286
Normal.1	2105.2294	0.785714285714286
Normal.2	2391.855	0.785714285714286
Normal.3	2198.8416	0.571428571428572
Normal.4	2074.3195	0.80952380952381
Normal.5	2926.2946	0.690476190476191
Normal.6	2599.8925	0.785714285714286
Normal.7	3308.254	0.80952380952381
Normal.8	2117.4029	0.785714285714286
Normal.9	2727.4527	0.738095238095238
Normal.10	2408.7597	0.80952380952381
Normal.11	3058.559	0.80952380952381
Normal.12	2205.2401	0.785714285714286
Normal.13	2922.3553	0.80952380952381
Normal.14	1992.5849	0.857142857142857
Normal.15	2847.4214	0.785714285714286
Normal.16	2532.1094	0.785714285714286
Normal.17	2406.5567	0.761904761904762
Normal.18	2479.9047	0.761904761904762
Normal.19	3240.0856	0.761904761904762
Normal.20	3547.7102	0.785714285714286
Normal.21	2228.4451	0.857142857142857
Normal.22	2329.925	0.80952380952381
Normal.23	2816.0462	0.785714285714286
Normal.24	2149.2943	0.785714285714286
Normal.25	2276.4999	0.857142857142857
Normal.26	2002.1115	0.761904761904762
Normal.27	2151.561	0.785714285714286
Normal.28	2150.1982	0.857142857142857
Normal.29	2548.5325	0.857142857142857
Normal.30	3467.0627	0.785714285714286
Normal.31	2411.8233	0.690476190476191
Normal.32	3139.0071	0.785714285714286
Normal.33	2301.9406	0.785714285714286
Normal.34	3539.3996	0.785714285714286
Normal.35	3119.3251	0.761904761904762
Normal.36	3266.1537	0.785714285714286
Normal.37	2770.6132	0.761904761904762
Normal.38	5213.8589	0.785714285714286
Normal.39	2844.0936	0.761904761904762
Normal.40	2230.1586	0.785714285714286
Normal.41	1931.4787	0.785714285714286
Normal.42	2030.8491	0.857142857142857
Normal.43	2072.3032	0.857142857142857
Normal.44	2613.5584	0.80952380952381
Normal.45	2144.8582	0.80952380952381
Normal.46	2638.5607	0.785714285714286
Normal.47	3047.4687	0.761904761904762
Normal.48	2131.6307	0.785714285714286
Normal.49	2024.5272	0.857142857142857
Normal.50	2499.1873	0.80952380952381
