Sample	Glyco_Genes_Sum	Corr
Tumor	9656.6549	0.547619047619048
Tumor.1	10460.151	0.785714285714286
Tumor.2	8227.2662	0.5
Tumor.3	4029.4862	0.595238095238095
Tumor.4	13311.4259	0.428571428571429
Tumor.5	5825.1423	0.452380952380952
Tumor.6	13877.6665	0.428571428571429
Tumor.7	6599.0364	0.547619047619048
Tumor.8	8333.783	0.547619047619048
Tumor.9	15746.8698	0.595238095238095
Tumor.10	7177.3127	0.428571428571429
Tumor.11	8267.4008	0.619047619047619
Tumor.12	9905.8557	0.5
Tumor.13	20137.4591	0.476190476190476
Tumor.14	7065.7634	0.595238095238095
Tumor.15	8586.172	0.5
Tumor.16	9472.2379	0.452380952380952
Tumor.17	11017.9622	0.5
Tumor.18	13061.7085	0.547619047619048
Tumor.19	7556.7186	0.5
Tumor.20	15079.178	0.476190476190476
Tumor.21	14093.8677	0.5
Tumor.22	5820.1834	0.5
Tumor.23	7756.4544	0.547619047619048
Tumor.24	4332.0067	0.619047619047619
Tumor.25	18392.6383	0.5
Tumor.26	6766.9205	0.428571428571429
Tumor.27	12339.3433	0.5
Tumor.28	9710.6106	0.5
Tumor.29	8914.2558	0.595238095238095
Tumor.30	10770.0549	0.547619047619048
Tumor.31	9202.0968	0.547619047619048
Tumor.32	5488.5097	0.5
Tumor.33	13498.746	0.5
Tumor.34	10362.851	0.761904761904762
Tumor.35	10765.389	0.428571428571429
Tumor.36	12524.6042	0.476190476190476
Tumor.37	7772.307	0.547619047619048
Tumor.38	5082.3466	0.476190476190476
Tumor.39	7075.6715	0.761904761904762
Tumor.40	6794.9273	0.547619047619048
Tumor.41	8962.3812	0.476190476190476
Tumor.42	8098.6294	0.428571428571429
Tumor.43	7282.2643	0.476190476190476
Tumor.44	4865.7865	0.547619047619048
Tumor.45	14995.1687	0.547619047619048
Tumor.46	7937.5628	0.547619047619048
Tumor.47	7420.774	0.619047619047619
Tumor.48	1985.7607	0.690476190476191
Tumor.49	13108.6198	0.523809523809524
Tumor.50	10049.9827	0.547619047619048
Tumor.51	1705.2205	0.5
Tumor.52	8790.5573	0.595238095238095
Tumor.53	10724.2867	0.547619047619048
Tumor.54	4783.7234	0.761904761904762
Tumor.55	17353.784	0.404761904761905
Tumor.56	6614.8023	0.5
Tumor.57	7516.8341	0.547619047619048
Tumor.58	11974.2384	0.547619047619048
Tumor.59	10298.4268	0.785714285714286
Tumor.60	4459.673	0.523809523809524
Tumor.61	10257.6771	0.785714285714286
Tumor.62	11556.0615	0.452380952380952
Tumor.63	14875.8092	0.476190476190476
Tumor.64	5901.3696	0.5
Tumor.65	3789.2096	0.5
Tumor.66	10039.5809	0.595238095238095
Tumor.67	10846.7925	0.5
Tumor.68	5973.7437	0.785714285714286
Tumor.69	10082.3196	0.690476190476191
Tumor.70	6200.4792	0.547619047619048
Tumor.71	10829.9163	0.738095238095238
Tumor.72	8760.022	0.5
Tumor.73	7935.5166	0.5
Tumor.74	12201.0064	0.428571428571429
Tumor.75	2895.1042	0.761904761904762
Tumor.76	5916.7418	0.547619047619048
Tumor.77	15281.3366	0.5
Tumor.78	9294.7342	0.357142857142857
Tumor.79	11571.8188	0.547619047619048
Tumor.80	11018.0998	0.571428571428572
Tumor.81	16764.2267	0.5
Tumor.82	7029.5055	0.428571428571429
Tumor.83	8829.7003	0.428571428571429
Tumor.84	6602.5944	0.547619047619048
Tumor.85	4074.9757	0.595238095238095
Tumor.86	7617.3476	0.547619047619048
Tumor.87	10483.0797	0.619047619047619
Tumor.88	16242.2218	0.428571428571429
Tumor.89	7162.3847	0.595238095238095
Tumor.90	6103.4315	0.595238095238095
Tumor.91	6976.1341	0.476190476190476
Tumor.92	12826.7876	0.595238095238095
Tumor.93	9398.8503	0.547619047619048
Tumor.94	7093.5876	0.547619047619048
Tumor.95	7349.8667	0.452380952380952
Tumor.96	5611.2617	0.523809523809524
Tumor.97	10524.8292	0.5
Tumor.98	7582.5203	0.428571428571429
Tumor.99	10076.8977	0.595238095238095
Tumor.100	23042.6719	0.5
Tumor.101	13661.4863	0.476190476190476
Tumor.102	6995.3622	0.785714285714286
Tumor.103	10498.8866	0.5
Tumor.104	9350.3761	0.428571428571429
Tumor.105	6567.1796	0.5
Tumor.106	7266.9861	0.595238095238095
Tumor.107	4055.02	0.547619047619048
Tumor.108	5278.3336	0.619047619047619
Tumor.109	10355.1919	0.547619047619048
Tumor.110	11563.2739	0.5
Tumor.111	18084.1732	0.547619047619048
Tumor.112	8740.4122	0.547619047619048
Tumor.113	7963.3744	0.547619047619048
Tumor.114	7344.977	0.476190476190476
Tumor.115	9667.261	0.547619047619048
Tumor.116	13844.9766	0.476190476190476
Tumor.117	15699.8191	0.547619047619048
Tumor.118	9880.1137	0.761904761904762
Tumor.119	12186.5515	0.476190476190476
Tumor.120	11694.3896	0.547619047619048
Tumor.121	12390.5313	0.547619047619048
Tumor.122	10439.4599	0.547619047619048
Tumor.123	7463.4229	0.547619047619048
Tumor.124	10561.363	0.5
Tumor.125	7819.44	0.523809523809524
Tumor.126	7945.2057	0.428571428571429
Tumor.127	2920.25	0.476190476190476
Tumor.128	11642.9759	0.547619047619048
Tumor.129	4197.8759	0.523809523809524
Tumor.130	11117.2794	0.547619047619048
Tumor.131	7657.7263	0.5
Tumor.132	5554.4975	0.547619047619048
Tumor.133	8659.0192	0.547619047619048
Tumor.134	6388.6102	0.476190476190476
Tumor.135	12858.3882	0.547619047619048
Tumor.136	5488.515	0.595238095238095
Tumor.137	4110.5359	0.476190476190476
Tumor.138	6095.9875	0.476190476190476
Tumor.139	12634.6938	0.5
Tumor.140	5604.0184	0.738095238095238
Tumor.141	5985.4355	0.547619047619048
Tumor.142	5362.7907	0.642857142857143
Tumor.143	9288.8952	0.476190476190476
Tumor.144	9069.3089	0.523809523809524
Tumor.145	4340.5254	0.5
Tumor.146	7600.7196	0.571428571428572
Tumor.147	7572.0385	0.428571428571429
Tumor.148	6951.7024	0.476190476190476
Tumor.149	12879.015	0.5
Tumor.150	19522.1887	0.547619047619048
Tumor.151	7193.7884	0.547619047619048
Tumor.152	7343.0018	0.595238095238095
Tumor.153	6702.1723	0.595238095238095
Tumor.154	13842.7243	0.595238095238095
Tumor.155	10282.8508	0.523809523809524
Tumor.156	7642.4353	0.690476190476191
Tumor.157	9731.2619	0.547619047619048
Tumor.158	7941.1221	0.547619047619048
Tumor.159	4095.7435	0.738095238095238
Tumor.160	6239.9889	0.547619047619048
Tumor.161	2717.4288	0.619047619047619
Tumor.162	10906.7716	0.595238095238095
Tumor.163	11356.9378	0.547619047619048
Tumor.164	6306.6819	0.5
Tumor.165	14380.3919	0.5
Tumor.166	9683.3062	0.476190476190476
Tumor.167	6262.2342	0.547619047619048
Tumor.168	7801.8239	0.476190476190476
Tumor.169	6592.8405	0.476190476190476
Tumor.170	6364.1078	0.547619047619048
Tumor.171	14712.6792	0.476190476190476
Tumor.172	4495.8123	0.452380952380952
Tumor.173	10009.9788	0.738095238095238
Tumor.174	8181.0259	0.547619047619048
Tumor.175	6393.1774	0.5
Tumor.176	7690.3523	0.547619047619048
Tumor.177	15344.133	0.476190476190476
Tumor.178	13560.6781	0.428571428571429
Tumor.179	11199.3789	0.571428571428572
Tumor.180	7419.1901	0.5
Tumor.181	8383.6022	0.523809523809524
Tumor.182	7185.7055	0.547619047619048
Tumor.183	8999.9373	0.547619047619048
Tumor.184	7904.9744	0.547619047619048
Tumor.185	6920.1251	0.5
Tumor.186	8708.0101	0.5
Tumor.187	8908.425	0.5
Tumor.188	5999.3121	0.571428571428572
Tumor.189	6078.6121	0.547619047619048
Tumor.190	11622.2513	0.5
Tumor.191	13723.1235	0.738095238095238
Tumor.192	7603.1951	0.5
Tumor.193	13761.8826	0.5
Tumor.194	10249.4948	0.428571428571429
Tumor.195	9248.1841	0.547619047619048
Tumor.196	10746.2544	0.738095238095238
Tumor.197	6782.9269	0.738095238095238
Tumor.198	10138.8319	0.595238095238095
Tumor.199	8308.4951	0.547619047619048
Tumor.200	8848.5106	0.619047619047619
Tumor.201	9133.127	0.738095238095238
Tumor.202	10423.2593	0.595238095238095
Tumor.203	14723.1788	0.595238095238095
Tumor.204	10559.1326	0.476190476190476
Tumor.205	4475.9965	0.523809523809524
Tumor.206	17690.5889	0.761904761904762
Tumor.207	9546.3546	0.476190476190476
Tumor.208	8355.5066	0.476190476190476
Tumor.209	9390.3128	0.476190476190476
Tumor.210	45261.8037	0.428571428571429
Tumor.211	7229.6629	0.857142857142857
Tumor.212	5487.6131	0.547619047619048
Tumor.213	6968.2891	0.523809523809524
Tumor.214	6631.5156	0.476190476190476
Tumor.215	7636.4143	0.5
Tumor.216	13463.0443	0.5
Tumor.217	9664.3398	0.619047619047619
Tumor.218	6608.4047	0.714285714285714
Tumor.219	11883.3702	0.547619047619048
Tumor.220	10232.1395	0.547619047619048
Tumor.221	9528.5093	0.428571428571429
Tumor.222	3386.4141	0.571428571428572
Tumor.223	7361.8146	0.690476190476191
Tumor.224	11668.1002	0.476190476190476
Tumor.225	4645.7596	0.619047619047619
Tumor.226	7377.8395	0.476190476190476
Tumor.227	7788.4241	0.452380952380952
Tumor.228	8415.3845	0.761904761904762
Tumor.229	8472.9586	0.547619047619048
Tumor.230	9005.3067	0.428571428571429
Tumor.231	7190.0298	0.761904761904762
Tumor.232	4118.1597	0.80952380952381
Tumor.233	12092.3309	0.523809523809524
Tumor.234	18986.673	0.476190476190476
Tumor.235	9619.4031	0.5
Tumor.236	10762.5238	0.428571428571429
Tumor.237	7937.5004	0.5
Tumor.238	6587.8167	0.547619047619048
Tumor.239	7418.0425	0.5
Tumor.240	8616.5356	0.428571428571429
Tumor.241	2371.8256	0.785714285714286
Tumor.242	3772.0729	0.5
Tumor.243	13944.1964	0.5
Tumor.244	10167.9269	0.476190476190476
Tumor.245	3630.894	0.547619047619048
Tumor.246	4240.0745	0.761904761904762
Tumor.247	7884.4587	0.738095238095238
Tumor.248	2168.1798	0.738095238095238
Tumor.249	1906.9084	0.738095238095238
Tumor.250	10850.2986	0.5
Tumor.251	8509.2633	0.476190476190476
Tumor.252	7122.3378	0.380952380952381
Tumor.253	13061.6558	0.5
Tumor.254	10636.344	0.428571428571429
Tumor.255	4698.0922	0.714285714285714
Tumor.256	13527.0014	0.547619047619048
Tumor.257	5838.2387	0.5
Tumor.258	9410.547	0.428571428571429
Tumor.259	9475.6405	0.547619047619048
Tumor.260	3506.5569	0.547619047619048
Tumor.261	12383.3295	0.5
Tumor.262	2939.0403	0.619047619047619
Tumor.263	7987.3889	0.738095238095238
Tumor.264	9613.1398	0.547619047619048
Tumor.265	3114.9019	0.5
Tumor.266	8431.9036	0.785714285714286
Tumor.267	8505.651	0.595238095238095
Tumor.268	7899.5954	0.690476190476191
Tumor.269	7954.1124	0.5
Tumor.270	7873.6395	0.547619047619048
Tumor.271	18848.1997	0.476190476190476
Tumor.272	12689.5232	0.523809523809524
Tumor.273	5706.4374	0.595238095238095
Tumor.274	4448.628	0.619047619047619
Tumor.275	7145.3185	0.595238095238095
Tumor.276	15063.5112	0.547619047619048
Tumor.277	5626.0387	0.619047619047619
Tumor.278	7910.0475	0.357142857142857
Tumor.279	3638.5844	0.523809523809524
Tumor.280	7648.1958	0.547619047619048
Tumor.281	11833.771	0.428571428571429
Tumor.282	10426.858	0.5
Tumor.283	9265.0279	0.428571428571429
Tumor.284	9932.3436	0.547619047619048
Tumor.285	5177.5411	0.5
Tumor.286	11834.0608	0.595238095238095
Tumor.287	10272.8882	0.5
Tumor.288	4800.8351	0.595238095238095
Tumor.289	10636.2601	0.523809523809524
Tumor.290	13287.4371	0.476190476190476
Tumor.291	14640.4965	0.547619047619048
Tumor.292	6765.8016	0.547619047619048
Tumor.293	7314.2434	0.5
Tumor.294	12194.9777	0.523809523809524
Tumor.295	9992.4283	0.5
Tumor.296	11079.3833	0.476190476190476
Tumor.297	15533.5316	0.547619047619048
Tumor.298	6917.1347	0.5
Tumor.299	4060.7184	0.523809523809524
Tumor.300	12727.3634	0.428571428571429
Tumor.301	6134.5637	0.547619047619048
Tumor.302	12645.4226	0.428571428571429
Tumor.303	26072.3299	0.476190476190476
Tumor.304	8588.3152	0.452380952380952
Tumor.305	4370.4217	0.523809523809524
Tumor.306	8307.6083	0.547619047619048
Tumor.307	6747.1739	0.428571428571429
Tumor.308	5758.608	0.547619047619048
Tumor.309	5505.9076	0.5
Tumor.310	6451.2383	0.5
Tumor.311	10504.4118	0.595238095238095
Tumor.312	8906.3474	0.619047619047619
Tumor.313	7381.8585	0.619047619047619
Tumor.314	12566.5659	0.404761904761905
Tumor.315	17377.0788	0.476190476190476
Tumor.316	9894.0348	0.5
Tumor.317	19822.7904	0.595238095238095
Tumor.318	12247.9344	0.5
Tumor.319	5357.6257	0.5
Tumor.320	13808.1372	0.547619047619048
Tumor.321	14832.3745	0.476190476190476
Tumor.322	5843.8778	0.547619047619048
Tumor.323	6799.2178	0.547619047619048
Tumor.324	12348.1894	0.404761904761905
Tumor.325	10139.7648	0.476190476190476
Tumor.326	6683.7861	0.547619047619048
Tumor.327	9534.438	0.476190476190476
Tumor.328	7011.7306	0.547619047619048
Tumor.329	4172.3695	0.571428571428572
Tumor.330	7262.5062	0.523809523809524
Tumor.331	13015.8608	0.476190476190476
Tumor.332	9902.0189	0.5
Tumor.333	14895.1759	0.428571428571429
Tumor.334	10902.992	0.547619047619048
Tumor.335	3180.6294	0.523809523809524
Tumor.336	7953.8592	0.523809523809524
Tumor.337	7607.614	0.5
Tumor.338	6981.7272	0.571428571428572
Tumor.339	6488.3574	0.5
Tumor.340	12713.8755	0.547619047619048
Tumor.341	3418.0233	0.523809523809524
Tumor.342	8889.2487	0.547619047619048
Tumor.343	9000.112	0.476190476190476
Tumor.344	4596.4763	0.523809523809524
Tumor.345	9402.9645	0.547619047619048
Tumor.346	9607.7516	0.619047619047619
Tumor.347	7006.6345	0.547619047619048
Tumor.348	13986.5166	0.476190476190476
Tumor.349	6042.1964	0.595238095238095
Tumor.350	11671.513	0.428571428571429
Tumor.351	8469.7894	0.547619047619048
Tumor.352	15645.1698	0.476190476190476
Tumor.353	5225.2167	0.619047619047619
Tumor.354	5356.8864	0.547619047619048
Tumor.355	5503.0406	0.571428571428572
Tumor.356	12621.3012	0.5
Tumor.357	11503.3156	0.547619047619048
Tumor.358	7818.1701	0.690476190476191
Tumor.359	6369.0817	0.476190476190476
Tumor.360	15223.9984	0.476190476190476
Tumor.361	12717.6951	0.547619047619048
Tumor.362	6996.999	0.476190476190476
Tumor.363	22082.0683	0.428571428571429
Tumor.364	15533.5854	0.476190476190476
Tumor.365	10820.0981	0.428571428571429
Tumor.366	7024.7503	0.523809523809524
Tumor.367	10632.4638	0.547619047619048
Tumor.368	4414.4619	0.5
Tumor.369	6624.7126	0.523809523809524
Tumor.370	18307.7409	0.5
Tumor.371	5761.1789	0.523809523809524
Tumor.372	7598.4648	0.547619047619048
Tumor.373	7018.2587	0.547619047619048
Tumor.374	8707.5893	0.476190476190476
Tumor.375	4261.4648	0.547619047619048
Tumor.376	13747.1227	0.428571428571429
Tumor.377	9156.4199	0.5
Tumor.378	12301.4189	0.547619047619048
Tumor.379	9891.9963	0.761904761904762
Tumor.380	6499.0486	0.571428571428572
Tumor.381	9396.6555	0.523809523809524
Tumor.382	9635.0836	0.547619047619048
Tumor.383	10572.6674	0.5
Tumor.384	8538.9974	0.547619047619048
Tumor.385	6276.4218	0.523809523809524
Tumor.386	12442.559	0.476190476190476
Tumor.387	7327.5519	0.428571428571429
Tumor.388	5808.7748	0.428571428571429
Tumor.389	6761.3143	0.547619047619048
Tumor.390	2431.4067	0.690476190476191
Tumor.391	9107.183	0.595238095238095
Tumor.392	7845.2842	0.547619047619048
Tumor.393	9438.9551	0.547619047619048
Tumor.394	22222.1864	0.476190476190476
Tumor.395	8682.4036	0.595238095238095
Tumor.396	9892.7854	0.595238095238095
Tumor.397	10471.0845	0.547619047619048
Tumor.398	5073.4045	0.571428571428572
Tumor.399	5194.2137	0.547619047619048
Tumor.400	6759.6407	0.5
Tumor.401	14674.2674	0.547619047619048
Tumor.402	10482.652	0.476190476190476
Tumor.403	5141.1403	0.547619047619048
Tumor.404	7712.7238	0.642857142857143
Tumor.405	8059.4007	0.5
Tumor.406	12548.0399	0.476190476190476
Tumor.407	6123.0644	0.476190476190476
Tumor.408	6101.4982	0.5
Tumor.409	9505.6211	0.738095238095238
Tumor.410	11058.3158	0.428571428571429
Tumor.411	5255.4391	0.547619047619048
Tumor.412	9733.6522	0.5
Tumor.413	6216.4799	0.5
Tumor.414	6727.719	0.5
Tumor.415	7320.9452	0.547619047619048
Tumor.416	7442.4588	0.5
Tumor.417	12594.3183	0.547619047619048
Tumor.418	5505.0721	0.5
Tumor.419	6644.5367	0.547619047619048
Tumor.420	8250.0736	0.690476190476191
Tumor.421	6839.4015	0.452380952380952
Tumor.422	5984.8166	0.547619047619048
Tumor.423	13312.292	0.547619047619048
Tumor.424	12565.8853	0.547619047619048
Tumor.425	7975.855	0.5
Tumor.426	3347.159	0.761904761904762
Tumor.427	5837.1874	0.619047619047619
Tumor.428	15152.7041	0.5
Tumor.429	5122.7817	0.5
Tumor.430	4210.3534	0.761904761904762
Tumor.431	5429.285	0.619047619047619
Tumor.432	10714.0066	0.571428571428572
Tumor.433	7596.6225	0.428571428571429
Tumor.434	13364.1167	0.404761904761905
Tumor.435	12254.9381	0.547619047619048
Tumor.436	8255.1901	0.547619047619048
Tumor.437	6588.7274	0.5
Tumor.438	3601.0247	0.547619047619048
Tumor.439	4829.8944	0.476190476190476
Tumor.440	8065.631	0.5
Tumor.441	6081.1645	0.476190476190476
Tumor.442	9296.4172	0.5
Tumor.443	9183.0873	0.5
Tumor.444	7068.5663	0.571428571428572
Tumor.445	9607.6786	0.547619047619048
Tumor.446	10255.5302	0.547619047619048
Tumor.447	9940.1894	0.476190476190476
Tumor.448	9000.139	0.404761904761905
Tumor.449	5136.9632	0.476190476190476
Tumor.450	8200.489	0.476190476190476
Tumor.451	9136.1611	0.547619047619048
Tumor.452	11145.6916	0.5
Tumor.453	7578.2623	0.523809523809524
Tumor.454	9555.5455	0.523809523809524
Tumor.455	3693.4088	0.5
Tumor.456	6948.7636	0.5
Tumor.457	7617.9518	0.476190476190476
Tumor.458	8984.2646	0.5
Tumor.459	7148.3211	0.595238095238095
Tumor.460	5799.7809	0.5
Tumor.461	3293.8994	0.619047619047619
Tumor.462	9806.2097	0.690476190476191
Tumor.463	3057.5076	0.619047619047619
Tumor.464	9064.8231	0.547619047619048
Tumor.465	13104.9152	0.619047619047619
Tumor.466	8939.5596	0.476190476190476
Tumor.467	5651.5698	0.476190476190476
Tumor.468	7822.6878	0.595238095238095
Tumor.469	8418.6814	0.571428571428572
