Sample	Glyco_Genes_Sum	Corr
Normal	2832.6731	0.738095238095238
Normal.1	3416.3543	0.738095238095238
Normal.2	3361.0768	0.619047619047619
Normal.3	3073.7358	0.761904761904762
Normal.4	3298.6103	0.761904761904762
Normal.5	3625.8639	0.619047619047619
Normal.6	2906.8687	0.738095238095238
Normal.7	2830.4606	0.5
Normal.8	1668.595	0.523809523809524
Normal.9	2143.2816	0.761904761904762
Normal.10	2745.9664	0.523809523809524
Normal.11	2758.4041	0.738095238095238
Normal.12	3333.3175	0.738095238095238
Normal.13	1600.5747	0.547619047619048
Normal.14	1919.5672	0.523809523809524
Normal.15	1602.6972	0.523809523809524
Normal.16	3433.2921	0.619047619047619
Normal.17	2367.0715	0.523809523809524
Normal.18	2862.5769	0.738095238095238
Normal.19	1623.1963	0.523809523809524
Normal.20	3025.564	0.761904761904762
Normal.21	2296.6294	0.738095238095238
Normal.22	2737.9245	0.738095238095238
Normal.23	3025.6017	0.761904761904762
Normal.24	3342.973	0.761904761904762
Normal.25	3162.3268	0.595238095238095
Normal.26	1600.457	0.476190476190476
Normal.27	2870.0399	0.595238095238095
Normal.28	2499.6454	0.619047619047619
Normal.29	3470.293	0.761904761904762
Normal.30	3575.0458	0.595238095238095
Normal.31	3038.1213	0.738095238095238
Normal.32	2364.6057	0.523809523809524
Normal.33	2867.8016	0.738095238095238
Normal.34	2131.7789	0.523809523809524
Normal.35	2336.5789	0.523809523809524
Normal.36	2629.7149	0.595238095238095
Normal.37	6644.0409	0.5
Normal.38	4394.5625	0.523809523809524
Normal.39	2115.3181	0.5
Normal.40	3024.1165	0.738095238095238
Normal.41	3737.9293	0.642857142857143
Normal.42	2318.7137	0.738095238095238
Normal.43	2587.7454	0.785714285714286
Normal.44	4590.0606	0.642857142857143
Normal.45	2358.4121	0.785714285714286
Normal.46	2918.2585	0.738095238095238
Normal.47	2648.4997	0.5
Normal.48	3503.5475	0.761904761904762
Normal.49	2311.8118	0.523809523809524
Normal.50	2724.7092	0.738095238095238
Normal.51	3195.6675	0.761904761904762
