Sample	Glyco_Genes_Sum	Corr
Tumor	2313.0211	0.523809523809524
Tumor.1	4228.0068	0.523809523809524
Tumor.2	3070.4083	0.523809523809524
Tumor.3	2907.2255	0.523809523809524
Tumor.4	3273.8271	0.619047619047619
Tumor.5	2492.2731	0.571428571428572
Tumor.6	2717.7048	0.523809523809524
Tumor.7	2793.0273	0.523809523809524
Tumor.8	2876.756	0.5
Tumor.9	2907.0256	0.80952380952381
Tumor.10	5522.5338	0.452380952380952
Tumor.11	3890.9921	0.571428571428572
Tumor.12	2461.6934	0.523809523809524
Tumor.13	8238.1014	0.738095238095238
Tumor.14	2555.1072	0.5
Tumor.15	2851.1166	0.523809523809524
Tumor.16	2555.0238	0.571428571428572
Tumor.17	2612.2426	0.452380952380952
Tumor.18	3608.9547	0.523809523809524
Tumor.19	2241.3842	0.571428571428572
Tumor.20	5733.6803	0.547619047619048
Tumor.21	2710.3399	0.571428571428572
Tumor.22	2688.6704	0.619047619047619
Tumor.23	3360.1128	0.523809523809524
Tumor.24	2532.0651	0.523809523809524
Tumor.25	3366.0938	0.523809523809524
Tumor.26	2526.1424	0.5
Tumor.27	3055.9467	0.523809523809524
Tumor.28	2472.2331	0.452380952380952
Tumor.29	2857.9584	0.523809523809524
Tumor.30	2757.1376	0.523809523809524
Tumor.31	3343.9843	0.523809523809524
Tumor.32	2299.7777	0.523809523809524
Tumor.33	1045.2979	0.571428571428572
Tumor.34	2826.8607	0.523809523809524
Tumor.35	2198.2024	0.452380952380952
Tumor.36	3505.2753	0.523809523809524
Tumor.37	2148.8284	0.523809523809524
Tumor.38	2682.5617	0.619047619047619
Tumor.39	3203.9243	0.547619047619048
Tumor.40	3593.7873	0.5
Tumor.41	2764.8238	0.761904761904762
Tumor.42	3068.1198	0.547619047619048
Tumor.43	5411.4664	0.5
Tumor.44	3288.1528	0.523809523809524
Tumor.45	8686.3439	0.428571428571429
Tumor.46	2367.0102	0.571428571428572
Tumor.47	2232.4602	0.714285714285714
Tumor.48	3090.4235	0.571428571428572
Tumor.49	3210.0411	0.523809523809524
Tumor.50	2421.3585	0.619047619047619
Tumor.51	2009.4737	0.523809523809524
Tumor.52	665.0262	0.571428571428572
Tumor.53	2136.6543	0.571428571428572
Tumor.54	3664.9037	0.452380952380952
Tumor.55	3391.5827	0.619047619047619
Tumor.56	3061.5344	0.5
Tumor.57	2222.8927	0.619047619047619
Tumor.58	2699.3832	0.571428571428572
Tumor.59	1730.9328	0.523809523809524
Tumor.60	2746.5873	0.571428571428572
Tumor.61	2373.0259	0.571428571428572
Tumor.62	3006.3981	0.523809523809524
Tumor.63	2135.6451	0.761904761904762
Tumor.64	3391.7668	0.5
Tumor.65	827.1186	0.452380952380952
Tumor.66	2585.5319	0.690476190476191
Tumor.67	2664.434	0.523809523809524
Tumor.68	1679.2878	0.380952380952381
Tumor.69	2055.8668	0.547619047619048
Tumor.70	2988.3149	0.761904761904762
Tumor.71	2468.9675	0.571428571428572
Tumor.72	2084.2103	0.5
Tumor.73	1824.7008	0.452380952380952
Tumor.74	2693.394	0.523809523809524
Tumor.75	1821.4389	0.523809523809524
Tumor.76	3033.6506	0.619047619047619
Tumor.77	2958.2294	0.523809523809524
Tumor.78	1744.581	0.714285714285714
Tumor.79	3610.8175	0.523809523809524
Tumor.80	2222.8728	0.738095238095238
Tumor.81	3121.0263	0.547619047619048
Tumor.82	2768.4461	0.738095238095238
Tumor.83	2374.1553	0.452380952380952
Tumor.84	2664.5583	0.785714285714286
Tumor.85	3028.4544	0.619047619047619
Tumor.86	4079.5932	0.619047619047619
Tumor.87	2416.9494	0.476190476190476
Tumor.88	2814.6114	0.80952380952381
Tumor.89	3805.4415	0.5
Tumor.90	2076.958	0.523809523809524
Tumor.91	2461.8421	0.523809523809524
Tumor.92	2256.6428	0.5
Tumor.93	2632.9388	0.80952380952381
Tumor.94	2632.5241	0.761904761904762
Tumor.95	2461.9991	0.523809523809524
Tumor.96	4024.8633	0.452380952380952
Tumor.97	2925.2645	0.619047619047619
Tumor.98	2670.674	0.619047619047619
Tumor.99	2794.2279	0.523809523809524
Tumor.100	2041.9564	0.452380952380952
Tumor.101	3325.5373	0.595238095238095
Tumor.102	3185.3191	0.571428571428572
