Sample	Glyco_Genes_Sum	Corr
Normal	3057.2467	0.619047619047619
Normal.1	2669.0553	0.761904761904762
Normal.2	2608.989	0.761904761904762
Normal.3	3101.8012	0.785714285714286
Normal.4	2682.5205	0.857142857142857
Normal.5	1494.8554	0.523809523809524
Normal.6	2380.0343	0.80952380952381
Normal.7	2560.41	0.761904761904762
Normal.8	2725.5689	0.761904761904762
Normal.9	2719.3613	0.761904761904762
Normal.10	2899.4546	0.785714285714286
Normal.11	2426.3237	0.761904761904762
Normal.12	2286.5745	0.761904761904762
Normal.13	2521.4465	0.761904761904762
Normal.14	2513.6567	0.785714285714286
Normal.15	3413.4397	0.619047619047619
Normal.16	2667.3338	0.761904761904762
Normal.17	2544.9174	0.785714285714286
Normal.18	2379.1121	0.785714285714286
Normal.19	3020.549	0.761904761904762
Normal.20	3394.2892	0.761904761904762
Normal.21	2940.8541	0.761904761904762
Normal.22	2375.8615	0.761904761904762
Normal.23	2646.6823	0.761904761904762
Normal.24	2736.3441	0.785714285714286
Normal.25	2898.704	0.761904761904762
Normal.26	3051.4172	0.761904761904762
Normal.27	3194.7084	0.761904761904762
Normal.28	2562.279	0.761904761904762
Normal.29	2489.088	0.761904761904762
Normal.30	2752.7499	0.761904761904762
Normal.31	2411.4684	0.785714285714286
Normal.32	3007.332	0.761904761904762
Normal.33	2710.6698	0.761904761904762
Normal.34	2844.2625	0.761904761904762
Normal.35	4068.1082	0.619047619047619
Normal.36	2098.116	0.785714285714286
Normal.37	3321.2672	0.761904761904762
Normal.38	1966.2429	0.761904761904762
Normal.39	3278.7736	0.80952380952381
Normal.40	2561.7811	0.785714285714286
Normal.41	2674.6723	0.761904761904762
Normal.42	2722.3517	0.785714285714286
Normal.43	2112.3786	0.785714285714286
Normal.44	2222.1769	0.5
Normal.45	2859.8539	0.761904761904762
Normal.46	2562.8151	0.452380952380952
Normal.47	1936.2944	0.761904761904762
Normal.48	2723.0904	0.761904761904762
Normal.49	2652.0886	0.785714285714286
Normal.50	2509.2158	0.785714285714286
Normal.51	2787.9351	0.785714285714286
Normal.52	2314.7944	0.761904761904762
Normal.53	2758.6657	0.761904761904762
Normal.54	2972.0305	0.761904761904762
Normal.55	2938.0599	0.761904761904762
Normal.56	2271.9506	0.714285714285714
Normal.57	2550.2914	0.761904761904762
Normal.58	2697.156	0.761904761904762
