Sample	Glyco_Genes_Sum	Corr
Tumor	3036.6984	0.619047619047619
Tumor.1	2212.275	0.642857142857143
Tumor.2	3315.8742	0.619047619047619
Tumor.3	2139.3098	0.619047619047619
Tumor.4	3294.3095	0.452380952380952
Tumor.5	3603.1581	0.619047619047619
Tumor.6	3269.3113	0.761904761904762
Tumor.7	3200.0745	0.452380952380952
Tumor.8	2819.3958	0.619047619047619
Tumor.9	3038.9787	0.619047619047619
Tumor.10	2992.0011	0.619047619047619
Tumor.11	2739.0917	0.785714285714286
Tumor.12	2996.3732	0.619047619047619
Tumor.13	2364.0729	0.619047619047619
Tumor.14	3325.2226	0.619047619047619
Tumor.15	2287.2358	0.619047619047619
Tumor.16	2475.41	0.642857142857143
Tumor.17	2619.5146	0.619047619047619
Tumor.18	2409.054	0.619047619047619
Tumor.19	3161.8261	0.5
Tumor.20	3124.2445	0.619047619047619
Tumor.21	3118.2409	0.761904761904762
Tumor.22	1965.5856	0.619047619047619
Tumor.23	2844.0105	0.619047619047619
Tumor.24	2486.2493	0.476190476190476
Tumor.25	3441.2408	0.523809523809524
Tumor.26	3582.0699	0.619047619047619
Tumor.27	2404.8897	0.619047619047619
Tumor.28	2485.3173	0.523809523809524
Tumor.29	2549.882	0.452380952380952
Tumor.30	2908.5551	0.785714285714286
Tumor.31	3631.3062	0.452380952380952
Tumor.32	3396.409	0.761904761904762
Tumor.33	3584.9303	0.523809523809524
Tumor.34	5141.1286	0.571428571428572
Tumor.35	2963.8984	0.619047619047619
Tumor.36	6012.4413	0.619047619047619
Tumor.37	3927.8833	0.642857142857143
Tumor.38	2834.1761	0.619047619047619
Tumor.39	2935.481	0.785714285714286
Tumor.40	3377.4121	0.761904761904762
Tumor.41	3625.7514	0.619047619047619
Tumor.42	2333.0664	0.523809523809524
Tumor.43	2667.5526	0.761904761904762
Tumor.44	3075.8759	0.619047619047619
Tumor.45	3382.9021	0.619047619047619
Tumor.46	3365.4614	0.785714285714286
Tumor.47	1736.6994	0.523809523809524
Tumor.48	2585.2891	0.642857142857143
Tumor.49	2344.3403	0.571428571428572
Tumor.50	2475.5393	0.785714285714286
Tumor.51	2821.5505	0.619047619047619
Tumor.52	3329.5717	0.619047619047619
Tumor.53	2699.9713	0.761904761904762
Tumor.54	3195.9812	0.619047619047619
Tumor.55	2860.3627	0.738095238095238
Tumor.56	4788.599	0.619047619047619
Tumor.57	2862.3687	0.761904761904762
Tumor.58	3749.2751	0.619047619047619
Tumor.59	2919.9418	0.619047619047619
Tumor.60	4773.195	0.761904761904762
Tumor.61	1873.9316	0.619047619047619
Tumor.62	3546.1665	0.619047619047619
Tumor.63	3004.0866	0.619047619047619
Tumor.64	3106.2681	0.619047619047619
Tumor.65	3616.5732	0.619047619047619
Tumor.66	2379.9876	0.619047619047619
Tumor.67	3197.8172	0.619047619047619
Tumor.68	3188.859	0.619047619047619
Tumor.69	2282.7022	0.619047619047619
Tumor.70	3309.1801	0.761904761904762
Tumor.71	3521.8654	0.619047619047619
Tumor.72	260.2712	0.452380952380952
Tumor.73	1203.4123	0.523809523809524
Tumor.74	1725.3443	0.619047619047619
Tumor.75	3500.6255	0.523809523809524
Tumor.76	1912.6842	0.523809523809524
Tumor.77	3080.2334	0.523809523809524
Tumor.78	2476.5231	0.619047619047619
Tumor.79	3191.5092	0.619047619047619
Tumor.80	3243.5372	0.619047619047619
Tumor.81	2775.2668	0.619047619047619
Tumor.82	2140.8858	0.619047619047619
Tumor.83	3313.2678	0.619047619047619
Tumor.84	3216.5509	0.642857142857143
Tumor.85	2975.1813	0.761904761904762
Tumor.86	2206.8043	0.619047619047619
Tumor.87	2828.7508	0.523809523809524
Tumor.88	3129.8877	0.619047619047619
Tumor.89	2691.5852	0.642857142857143
Tumor.90	3273.5366	0.619047619047619
Tumor.91	3412.1341	0.619047619047619
Tumor.92	2241.4728	0.619047619047619
Tumor.93	3302.9096	0.619047619047619
Tumor.94	3010.5972	0.785714285714286
Tumor.95	2726.2811	0.761904761904762
Tumor.96	2527.5419	0.619047619047619
Tumor.97	2028.1343	0.761904761904762
Tumor.98	1420.9007	0.571428571428572
Tumor.99	3845.5795	0.523809523809524
Tumor.100	2542.0932	0.642857142857143
Tumor.101	2611.2257	0.619047619047619
Tumor.102	3186.0334	0.619047619047619
Tumor.103	1792.1905	0.619047619047619
Tumor.104	3411.0005	0.619047619047619
Tumor.105	2404.8618	0.904761904761905
