Abbreviation	correlation	Corr_Pearson	molecule fraction of glycolysis enzyme
LU	0.666666666666667	0.640493641461971	0.304998813
PENG	0.80952380952381	0.788170832342731	0.041513428
KUL	0.619047619047619	0.688655101317344	0.114848856
LEE2	0.857142857142857	0.897539245881889	0.040003017
THAK	0.857142857142857	0.856231017912258	0.052351606
NAG	0.857142857142857	0.852045355076993	0.02471696
PIC	0.833333333333333	0.80481976699889	0.032658621
WEB	0.833333333333333	0.845514785136171	0.02338431
TKA	0.738095238095238	0.748785024685555	0.107074676
BRE	0.690476190476191	0.72373256759317	0.138598084
DEN	0.5	0.491358855640309	0.432705988
CHO	0.80952380952381	0.77662266609123	0.103453653
NEW	0.80952380952381	0.757844889335322	0.089857001
LEE	0.738095238095238	0.720999596359835	0.141435532
DAV	0.571428571428572	0.558691420077321	0.361244039
GHA	0.595238095238095	0.722941528215055	0.065488365
