Gene.Symbol	HXK1	HXK2	GLK1	PGI1	PFK1	PFK2	FBA1	TPI1	TDH3	TDH1	TDH2	PGK1	GPM1	GPM2	GPM3	ERR2	ERR3	ENO2	ERR1	ENO1	CDC19	PYK2
LU	0	328075	8606	413586	61930	88217	2044661	677833	2003699	93255	944141	1898620	802611	0	0	812	0	3055113	0	1842521	917330	0
PENG	42349	63925	25562	87172	43314	29606	276079	179979	248743	108586	245860	370624	123177	7852	2105	0	4584	96517	0	99031	139900	9850
KUL	107049	140914	26115	203895	54270	31801	847652	395237	1575311	125724	171296	561265	522238	1703	159	0	0	929818	0	116160	404162	755
LEE2	17813	72904	24348	60423	67655	50489	135189	20383	96616	17770	21887	170530	115202	0	6121	0	0	173678	0	23841	144632	6184
THAK	90413	80075	45313	117208	77963	50861	193872	121824	222439	67586	56541	216701	171415	7738	7738	1991	1991	275940	1991	105182	193872	2526
NAG	23140	43399	17608	50286	42526	36326	68772	32360	79604	17016	13251	53630	49618	1431	2743	0	0	107229	0	32849	60733	3198
PIC	20622	36690	25891	34195	21555	28265	66717	46263	23053	129509	99905	70874	61665	4285	0	0	0	73251	0	44218	68604	48830
WEB	37273	40242	20298	29940	30281	23027	36155	44321	53149	36903	50814	48461	32465	7517	4648	0	0	44542	0	34414	50091	5842
TKA	8791	178665	2665	262736	120924	136768	790623	150551	727185	2209	210578	616130	363279	1855	3875	0	0	680848	0	35803	63429	2571
BRE	0	140422	1230	116787	1935	112063	622909	141385	620120	254085	301305	518391	260910	3026	3128	1617	2436	533118	1181	534224	285863	2150
DEN	514173	756625	6684	574849	316247	241691	18933066	30217	20387603	20742	1426302	8896829	649254	1969	2510	0	0	26643994	0	1694970	190691	2454
CHO	6583	176530	1838	241201	110269	151401	684969	124464	846327	4409	316636	552402	329753	1343	3803	0	0	735592	0	29368	248234	2281
NEW	2799	116468	3491	133479	79199	95193	413303	60183	483677	28035	156300	360976	139260	0	3685	0	0	638348	0	41775	122445	1763
LEE	151141	106585	8213	138428	122857	127306	648441	60678	1040796	219510	250668	599212	204514	4947	3059	0	0	1059180	0	553701	94797	3644
DAV	33781	311252	2883	639323	387255	605004	8100261	20247	8358081	332859	2478705	5860867	277399	2062	2151	0	0	9065958	0	725295	250119	2247
GHA	40800	114000	21100	91600	89800	90200	1020000	207000	169000	120000	121000	314000	172000	2020	3730	0	0	2610	0	76700	291000	2130
